country_code,year,crude_birth_rate
4,1950,50.008
4,1951,50.09
4,1952,50.251
4,1953,50.404
4,1954,50.55
4,1955,50.689
4,1956,50.821
4,1957,50.945
4,1958,51.062
4,1959,51.172
4,1960,51.276
4,1961,51.374
4,1962,51.464
4,1963,51.544
4,1964,51.614
4,1965,51.668
4,1966,51.703
4,1967,51.716
4,1968,51.705
4,1969,51.672
4,1970,51.616
4,1971,51.539
4,1972,51.446
4,1973,51.341
4,1974,51.229
4,1975,51.113
4,1976,50.998
4,1977,50.886
4,1978,50.775
4,1979,50.667
4,1980,50.562
4,1981,50.457
4,1982,50.349
4,1983,50.235
4,1984,50.113
4,1985,49.975
4,1986,49.813
4,1987,49.627
4,1988,49.425
4,1989,49.216
4,1990,49.029
4,1991,48.896
4,1992,48.834
4,1993,48.839
4,1994,48.898
4,1995,48.978
4,1996,49.039
4,1997,49.036
4,1998,48.93
4,1999,48.699
4,2000,48.332
4,2001,47.835
4,2002,47.23
4,2003,46.538
4,2004,45.761
4,2005,44.887
4,2006,43.893
4,2007,42.779
4,2008,41.56
4,2009,40.265
4,2010,38.94
4,2011,37.636
4,2012,36.396
4,2013,35.253
4,2014,34.225
4,2015,33.314
4,2016,32.504
4,2017,31.756
4,2018,31.04
4,2019,30.344
4,2020,29.664
4,2021,29.002
4,2022,28.365
4,2023,27.761
4,2024,27.187
4,2025,26.641
4,2026,26.123
4,2027,25.628
4,2028,25.151
4,2029,24.687
4,2030,24.232
4,2031,23.782
4,2032,23.335
4,2033,22.889
4,2034,22.444
4,2035,21.998
4,2036,21.552
4,2037,21.109
4,2038,20.673
4,2039,20.243
4,2040,19.822
4,2041,19.41
4,2042,19.006
4,2043,18.613
4,2044,18.23
4,2045,17.86
4,2046,17.503
4,2047,17.161
4,2048,16.833
4,2049,16.52
4,2050,16.222
4,2051,15.94
4,2052,15.671
4,2053,15.416
4,2054,15.173
4,2055,14.941
4,2056,14.72
4,2057,14.509
4,2058,14.307
4,2059,14.113
4,2060,13.925
4,2061,13.743
4,2062,13.567
4,2063,13.395
4,2064,13.228
4,2065,13.066
4,2066,12.908
4,2067,12.756
4,2068,12.608
4,2069,12.467
4,2070,12.33
4,2071,12.199
4,2072,12.074
4,2073,11.953
4,2074,11.837
4,2075,11.727
4,2076,11.622
4,2077,11.522
4,2078,11.428
4,2079,11.34
4,2080,11.256
4,2081,11.179
4,2082,11.106
4,2083,11.038
4,2084,10.975
4,2085,10.916
4,2086,10.861
