country_code,year,crude_death_rate
4,1950,38.307
4,1951,37.94
4,1952,37.219
4,1953,36.526
4,1954,35.86
4,1955,35.22
4,1956,34.608
4,1957,34.021
4,1958,33.459
4,1959,32.921
4,1960,32.403
4,1961,31.902
4,1962,31.415
4,1963,30.937
4,1964,30.464
4,1965,29.992
4,1966,29.521
4,1967,29.05
4,1968,28.577
4,1969,28.101
4,1970,27.619
4,1971,27.131
4,1972,26.637
4,1973,26.136
4,1974,25.625
4,1975,25.104
4,1976,24.57
4,1977,24.024
4,1978,23.464
4,1979,22.887
4,1980,22.288
4,1981,21.662
4,1982,21.008
4,1983,20.329
4,1984,19.633
4,1985,18.925
4,1986,18.212
4,1987,17.505
4,1988,16.818
4,1989,16.163
4,1990,15.555
4,1991,15.008
4,1992,14.524
4,1993,14.101
4,1994,13.736
4,1995,13.421
4,1996,13.146
4,1997,12.894
4,1998,12.651
4,1999,12.406
4,2000,12.149
4,2001,11.878
4,2002,11.594
4,2003,11.302
4,2004,11.003
4,2005,10.696
4,2006,10.386
4,2007,10.075
4,2008,9.771
4,2009,9.475
4,2010,9.193
4,2011,8.927
4,2012,8.677
4,2013,8.445
4,2014,8.23
4,2015,8.034
4,2016,7.857
4,2017,7.696
4,2018,7.55
4,2019,7.418
4,2020,7.298
4,2021,7.19
4,2022,7.092
4,2023,7.004
4,2024,6.926
4,2025,6.854
4,2026,6.791
4,2027,6.734
4,2028,6.685
4,2029,6.642
4,2030,6.607
4,2031,6.578
4,2032,6.556
4,2033,6.541
4,2034,6.533
4,2035,6.531
4,2036,6.535
4,2037,6.543
4,2038,6.557
4,2039,6.575
4,2040,6.598
4,2041,6.627
4,2042,6.663
4,2043,6.705
4,2044,6.754
4,2045,6.811
4,2046,6.876
4,2047,6.949
4,2048,7.029
4,2049,7.117
4,2050,7.211
4,2051,7.31
4,2052,7.415
4,2053,7.524
4,2054,7.637
4,2055,7.754
4,2056,7.876
4,2057,8.004
4,2058,8.137
4,2059,8.276
4,2060,8.421
4,2061,8.571
4,2062,8.726
4,2063,8.885
4,2064,9.049
4,2065,9.216
4,2066,9.388
4,2067,9.564
4,2068,9.744
4,2069,9.927
4,2070,10.115
4,2071,10.306
4,2072,10.501
4,2073,10.698
4,2074,10.897
4,2075,11.095
4,2076,11.293
4,2077,11.488
4,2078,11.68
4,2079,11.867
4,2080,12.049
4,2081,12.226
4,2082,12.399
4,2083,12.566
4,2084,12.729
4,2085,12.886
4,2086,13.036
4,2087,13.18
4,2088,13.318
4,2089,13.448
4,2090,13.571
4,2091,13.687
4,2092,13.795
4,2093,13.897
4,2094,13.991
4,2095,14.079
4,2096,14.16
4,2097,14.234
4,2098,14.301
4,2099,14.361
8,1950,17.121
8,1951,16.873
8,1952,16.36
8,1953,15.815
8,1954,15.236
8,1955,14.626
8,1956,13.988
8,1957,13.326
8,1958,12.65
8,1959,11.978
8,1960,11.328
8,1961,10.72
8,1962,10.176
8,1963,9.708
8,1964,9.321
8,1965,9.01
8,1966,8.762
8,1967,8.555
8,1968,8.366
8,1969,8.184
8,1970,7.996
8,1971,7.797
8,1972,7.59
8,1973,7.381
8,1974,7.172
8,1975,6.969
8,1976,6.782
8,1977,6.619
8,1978,6.483
8,1979,6.376
8,1980,6.289
8,1981,6.213
8,1982,6.138
8,1983,6.06
8,1984,5.98
8,1985,5.907
8,1986,5.856
8,1987,5.838
8,1988,5.857
8,1989,5.911
8,1990,5.99
8,1991,6.081
8,1992,6.167
8,1993,6.234
8,1994,6.273
8,1995,6.274
8,1996,6.23
8,1997,6.149
8,1998,6.044
8,1999,5.927
8,2000,5.818
8,2001,5.741
8,2002,5.711
8,2003,5.737
8,2004,5.822
8,2005,5.957
8,2006,6.131
8,2007,6.321
8,2008,6.508
8,2009,6.684
8,2010,6.841
8,2011,6.981
8,2012,7.109
8,2013,7.232
8,2014,7.35
8,2015,7.463
8,2016,7.57
8,2017,7.674
8,2018,7.773
8,2019,7.87
8,2020,7.964
8,2021,8.057
8,2022,8.15
8,2023,8.244
8,2024,8.339
8,2025,8.438
8,2026,8.542
8,2027,8.65
8,2028,8.762
8,2029,8.881
8,2030,9.005
8,2031,9.135
8,2032,9.27
8,2033,9.41
8,2034,9.555
8,2035,9.703
8,2036,9.855
8,2037,10.011
8,2038,10.17
8,2039,10.33
8,2040,10.49
8,2041,10.651
8,2042,10.811
8,2043,10.968
8,2044,11.12
8,2045,11.263
8,2046,11.396
8,2047,11.518
8,2048,11.626
8,2049,11.721
8,2050,11.801
8,2051,11.866
8,2052,11.918
8,2053,11.959
8,2054,11.993
8,2055,12.019
8,2056,12.041
8,2057,12.06
8,2058,12.078
8,2059,12.099
8,2060,12.126
8,2061,12.159
8,2062,12.199
8,2063,12.25
8,2064,12.313
8,2065,12.392
8,2066,12.491
8,2067,12.61
8,2068,12.75
8,2069,12.911
8,2070,13.096
8,2071,13.306
8,2072,13.537
8,2073,13.786
8,2074,14.049
8,2075,14.321
8,2076,14.602
8,2077,14.885
8,2078,15.165
8,2079,15.435
8,2080,15.687
8,2081,15.917
8,2082,16.122
8,2083,16.299
8,2084,16.44
8,2085,16.541
8,2086,16.597
8,2087,16.607
8,2088,16.575
8,2089,16.503
8,2090,16.395
8,2091,16.257
8,2092,16.096
8,2093,15.915
8,2094,15.72
8,2095,15.512
8,2096,15.294
8,2097,15.065
8,2098,14.826
8,2099,14.577
12,1950,23.761
12,1951,23.591
12,1952,23.248
12,1953,22.901
12,1954,22.549
12,1955,22.194
12,1956,21.834
12,1957,21.469
12,1958,21.099
12,1959,20.723
12,1960,20.341
12,1961,19.952
12,1962,19.557
12,1963,19.158
12,1964,18.757
12,1965,18.363
12,1966,17.985
12,1967,17.625
12,1968,17.283
12,1969,16.955
12,1970,16.633
12,1971,16.312
12,1972,15.979
12,1973,15.618
12,1974,15.217
12,1975,14.752
12,1976,14.202
12,1977,13.564
12,1978,12.849
12,1979,12.072
12,1980,11.259
12,1981,10.443
12,1982,9.658
12,1983,8.935
12,1984,8.295
12,1985,7.754
12,1986,7.318
12,1987,6.972
12,1988,6.695
12,1989,6.479
12,1990,6.307
12,1991,6.164
12,1992,6.037
12,1993,5.915
12,1994,5.79
12,1995,5.66
12,1996,5.526
12,1997,5.4
12,1998,5.287
12,1999,5.192
12,2000,5.115
12,2001,5.059
12,2002,5.022
12,2003,5.001
12,2004,4.994
12,2005,4.999
12,2006,5.014
12,2007,5.036
12,2008,5.061
12,2009,5.086
12,2010,5.108
12,2011,5.123
12,2012,5.13
12,2013,5.131
12,2014,5.125
12,2015,5.114
12,2016,5.1
12,2017,5.086
12,2018,5.075
12,2019,5.068
12,2020,5.068
12,2021,5.075
12,2022,5.086
12,2023,5.103
12,2024,5.124
12,2025,5.152
12,2026,5.185
12,2027,5.224
