country_code,year,female_deaths
4,1950,137.575
4,1951,137.109
4,1952,136.267
4,1953,135.604
4,1954,135.119
4,1955,134.813
4,1956,134.685
4,1957,134.732
4,1958,134.947
4,1959,135.324
4,1960,135.851
4,1961,136.512
4,1962,137.288
4,1963,138.155
4,1964,139.091
4,1965,140.099
4,1966,141.199
4,1967,142.382
4,1968,143.61
4,1969,144.822
4,1970,145.985
4,1971,147.08
4,1972,148.037
4,1973,148.746
4,1974,149.079
4,1975,148.841
4,1976,147.842
4,1977,146.007
4,1978,143.325
4,1979,139.828
4,1980,135.523
4,1981,130.446
4,1982,124.818
4,1983,118.933
4,1984,113.083
4,1985,107.61
4,1986,102.833
4,1987,98.93
4,1988,96.029
4,1989,94.226
4,1990,93.576
4,1991,94.036
4,1992,95.364
4,1993,97.299
4,1994,99.654
4,1995,102.253
4,1996,104.954
4,1997,107.664
4,1998,110.28
4,1999,112.687
4,2000,114.796
4,2001,116.576
4,2002,118.077
4,2003,119.341
4,2004,120.363
4,2005,121.131
4,2006,121.631
4,2007,121.893
4,2008,121.962
4,2009,121.89
4,2010,121.738
4,2011,121.568
4,2012,121.43
4,2013,121.366
4,2014,121.413
4,2015,121.584
4,2016,121.87
4,2017,122.236
4,2018,122.659
4,2019,123.137
4,2020,123.672
4,2021,124.272
4,2022,124.946
4,2023,125.702
4,2024,126.545
4,2025,127.474
4,2026,128.489
4,2027,129.584
4,2028,130.758
4,2029,132.012
4,2030,133.346
4,2031,134.763
4,2032,136.263
4,2033,137.852
4,2034,139.533
4,2035,141.305
4,2036,143.167
4,2037,145.12
4,2038,147.17
4,2039,149.323
4,2040,151.583
4,2041,153.953
4,2042,156.441
4,2043,159.058
4,2044,161.817
4,2045,164.739
4,2046,167.845
4,2047,171.14
4,2048,174.627
4,2049,178.3
4,2050,182.144
4,2051,186.14
4,2052,190.263
4,2053,194.497
4,2054,198.833
4,2055,203.276
4,2056,207.836
4,2057,212.53
4,2058,217.366
4,2059,222.344
4,2060,227.461
4,2061,232.712
4,2062,238.083
4,2063,243.561
4,2064,249.133
4,2065,254.788
4,2066,260.517
4,2067,266.318
4,2068,272.185
4,2069,278.114
4,2070,284.122
4,2071,290.234
4,2072,296.454
4,2073,302.762
4,2074,309.12
4,2075,315.486
4,2076,321.82
4,2077,328.065
4,2078,334.159
4,2079,340.047
4,2080,345.681
4,2081,351.03
4,2082,356.096
4,2083,360.875
4,2084,365.352
4,2085,369.518
4,2086,373.371
4,2087,376.928
4,2088,380.206
4,2089,383.214
4,2090,385.959
4,2091,388.451
4,2092,390.696
4,2093,392.699
4,2094,394.466
4,2095,395.997
4,2096,397.296
4,2097,398.361
4,2098,399.195
