country_code,year,infant_deaths_both_sexes_combined
4,1950,113.755
4,1951,113.559
4,1952,113.192
4,1953,112.909
4,1954,112.704
4,1955,112.574
4,1956,112.516
4,1957,112.53
4,1958,112.616
4,1959,112.779
4,1960,113.025
4,1961,113.362
4,1962,113.791
4,1963,114.311
4,1964,114.913
4,1965,115.604
4,1966,116.393
4,1967,117.253
4,1968,118.137
4,1969,118.99
4,1970,119.788
4,1971,120.529
4,1972,121.157
4,1973,121.583
4,1974,121.693
4,1975,121.332
4,1976,120.355
4,1977,118.714
4,1978,116.409
4,1979,113.48
4,1980,109.915
4,1981,105.726
4,1982,101.11
4,1983,96.327
4,1984,91.633
4,1985,87.299
4,1986,83.55
4,1987,80.517
4,1988,78.275
4,1989,76.859
4,1990,76.306
4,1991,76.6
4,1992,77.558
4,1993,78.99
4,1994,80.764
4,1995,82.748
4,1996,84.818
4,1997,86.838
4,1998,88.665
4,1999,90.179
4,2000,91.303
4,2001,92.019
4,2002,92.382
4,2003,92.425
4,2004,92.119
4,2005,91.41
4,2006,90.257
4,2007,88.703
4,2008,86.823
4,2009,84.706
4,2010,82.465
4,2011,80.22
4,2012,78.065
4,2013,76.062
4,2014,74.238
4,2015,72.581
4,2016,71.048
4,2017,69.563
4,2018,68.076
4,2019,66.576
4,2020,65.067
4,2021,63.565
4,2022,62.094
4,2023,60.674
4,2024,59.306
4,2025,57.994
4,2026,56.732
4,2027,55.514
4,2028,54.326
4,2029,53.163
4,2030,52.02
4,2031,50.895
4,2032,49.786
4,2033,48.688
4,2034,47.595
4,2035,46.499
4,2036,45.393
4,2037,44.274
4,2038,43.145
4,2039,42.008
4,2040,40.866
4,2041,39.724
4,2042,38.593
4,2043,37.484
4,2044,36.404
4,2045,35.36
4,2046,34.361
4,2047,33.404
4,2048,32.49
4,2049,31.617
4,2050,30.779
4,2051,29.972
4,2052,29.188
4,2053,28.42
4,2054,27.669
4,2055,26.932
4,2056,26.212
4,2057,25.511
4,2058,24.833
4,2059,24.179
4,2060,23.547
4,2061,22.936
4,2062,22.346
4,2063,21.775
4,2064,21.222
4,2065,20.686
4,2066,20.167
4,2067,19.664
4,2068,19.178
4,2069,18.707
4,2070,18.25
4,2071,17.806
4,2072,17.375
4,2073,16.955
4,2074,16.545
4,2075,16.141
4,2076,15.741
4,2077,15.343
4,2078,14.949
4,2079,14.56
4,2080,14.177
4,2081,13.806
4,2082,13.45
4,2083,13.111
4,2084,12.788
4,2085,12.481
4,2086,12.188
4,2087,11.905
4,2088,11.627
4,2089,11.357
4,2090,11.091
4,2091,10.832
4,2092,10.578
4,2093,10.333
4,2094,10.097
4,2095,9.868
4,2096,9.649
4,2097,9.439
4,2098,9.237
4,2099,9.045
8,1950,7.256
8,1951,7.381
8,1952,7.602
8,1953,7.775
8,1954,7.898
8,1955,7.97
8,1956,7.989
8,1957,7.954
8,1958,7.866
8,1959,7.725
8,1960,7.532
8,1961,7.291
8,1962,7.011
8,1963,6.702
8,1964,6.376
8,1965,6.047
8,1966,5.721
8,1967,5.406
8,1968,5.107
8,1969,4.826
8,1970,4.566
8,1971,4.327
8,1972,4.106
8,1973,3.906
8,1974,3.726
8,1975,3.572
8,1976,3.448
8,1977,3.353
8,1978,3.286
8,1979,3.242
8,1980,3.218
8,1981,3.212
8,1982,3.217
8,1983,3.224
8,1984,3.223
8,1985,3.204
8,1986,3.159
8,1987,3.085
8,1988,2.982
8,1989,2.853
8,1990,2.703
8,1991,2.54
8,1992,2.371
8,1993,2.205
8,1994,2.043
8,1995,1.889
8,1996,1.739
8,1997,1.594
8,1998,1.451
8,1999,1.314
8,2000,1.184
8,2001,1.061
8,2002,0.947
8,2003,0.843
8,2004,0.752
8,2005,0.676
8,2006,0.617
8,2007,0.574
8,2008,0.547
8,2009,0.533
8,2010,0.528
8,2011,0.53
8,2012,0.534
8,2013,0.538
8,2014,0.538
8,2015,0.534
8,2016,0.527
8,2017,0.516
8,2018,0.505
8,2019,0.491
8,2020,0.476
8,2021,0.46
8,2022,0.442
8,2023,0.423
8,2024,0.404
8,2025,0.384
8,2026,0.365
8,2027,0.345
8,2028,0.327
8,2029,0.309
8,2030,0.292
8,2031,0.277
8,2032,0.263
8,2033,0.25
8,2034,0.237
8,2035,0.227
8,2036,0.217
8,2037,0.21
8,2038,0.202
8,2039,0.197
8,2040,0.191
8,2041,0.186
8,2042,0.182
8,2043,0.178
8,2044,0.175
8,2045,0.171
8,2046,0.167
8,2047,0.164
8,2048,0.16
8,2049,0.156
8,2050,0.152
8,2051,0.149
8,2052,0.144
8,2053,0.139
8,2054,0.134
8,2055,0.13
8,2056,0.125
8,2057,0.121
8,2058,0.115
8,2059,0.111
8,2060,0.106
8,2061,0.102
8,2062,0.098
8,2063,0.093
8,2064,0.09
8,2065,0.087
8,2066,0.084
8,2067,0.08
8,2068,0.078
8,2069,0.076
8,2070,0.073
8,2071,0.071
8,2072,0.07
8,2073,0.069
8,2074,0.067
8,2075,0.065
8,2076,0.064
8,2077,0.063
8,2078,0.061
8,2079,0.06
8,2080,0.059
8,2081,0.058
8,2082,0.056
8,2083,0.054
8,2084,0.054
8,2085,0.052
8,2086,0.05
8,2087,0.048
8,2088,0.047
8,2089,0.045
8,2090,0.044
8,2091,0.043
8,2092,0.041
8,2093,0.039
8,2094,0.039
8,2095,0.037
8,2096,0.037
8,2097,0.035
8,2098,0.035
8,2099,0.034
12,1950,75.534
12,1951,75.722
12,1952,76.143
12,1953,76.662
12,1954,77.274
12,1955,77.969
12,1956,78.732
12,1957,79.549
12,1958,80.394
12,1959,81.232
12,1960,82.024
12,1961,82.737
12,1962,83.344
12,1963,83.84
12,1964,84.239
12,1965,84.601
12,1966,85.004
12,1967,85.498
12,1968,86.099
12,1969,86.783
12,1970,87.525
12,1971,88.286
12,1972,88.963
12,1973,89.425
12,1974,89.545
12,1975,89.137
12,1976,88.018
12,1977,86.121
12,1978,83.45
12,1979,80.065
12,1980,76.097
12,1981,71.744
12,1982,67.251
12,1983,62.846
12,1984,58.688
12,1985,54.924
12,1986,51.636
12,1987,48.764
12,1988,46.229
12,1989,43.987
12,1990,41.939
12,1991,39.97
12,1992,38.001
12,1993,35.993
12,1994,33.948
12,1995,31.89
12,1996,29.878
12,1997,28.01
12,1998,26.381
12,1999,25.046
12,2000,24.08
12,2001,23.54
12,2002,23.405
12,2003,23.624
12,2004,24.139
12,2005,24.89
12,2006,25.806
12,2007,26.774
12,2008,27.673
12,2009,28.401
12,2010,28.851
12,2011,28.944
12,2012,28.684
12,2013,28.097
12,2014,27.211
