country_code,year,infant_mortality_rate
4,1950,291.456
4,1951,288.792
4,1952,283.51
4,1953,278.319
4,1954,273.219
4,1955,268.212
4,1956,263.3
4,1957,258.488
4,1958,253.782
4,1959,249.197
4,1960,244.748
4,1961,240.448
4,1962,236.307
4,1963,232.327
4,1964,228.496
4,1965,224.799
4,1966,221.221
4,1967,217.728
4,1968,214.286
4,1969,210.863
4,1970,207.437
4,1971,203.995
4,1972,200.532
4,1973,197.034
4,1974,193.479
4,1975,189.85
4,1976,186.137
4,1977,182.334
4,1978,178.431
4,1979,174.412
4,1980,170.24
4,1981,165.879
4,1982,161.328
4,1983,156.605
4,1984,151.741
4,1985,146.754
4,1986,141.665
4,1987,136.535
4,1988,131.448
4,1989,126.492
4,1990,121.777
4,1991,117.406
4,1992,113.422
4,1993,109.849
4,1994,106.693
4,1995,103.944
4,1996,101.56
4,1997,99.448
4,1998,97.508
4,1999,95.671
4,2000,93.869
4,2001,92.049
4,2002,90.203
4,2003,88.325
4,2004,86.404
4,2005,84.447
4,2006,82.479
4,2007,80.54
4,2008,78.662
4,2009,76.856
4,2010,75.124
4,2011,73.457
4,2012,71.838
4,2013,70.253
4,2014,68.698
4,2015,67.174
4,2016,65.684
4,2017,64.232
4,2018,62.824
4,2019,61.459
4,2020,60.138
4,2021,58.86
4,2022,57.622
4,2023,56.421
4,2024,55.256
4,2025,54.124
4,2026,53.024
4,2027,51.955
4,2028,50.918
4,2029,49.912
4,2030,48.941
4,2031,48.008
4,2032,47.116
4,2033,46.262
4,2034,45.442
4,2035,44.646
4,2036,43.865
4,2037,43.091
4,2038,42.316
4,2039,41.54
4,2040,40.762
4,2041,39.986
4,2042,39.22
4,2043,38.471
4,2044,37.742
4,2045,37.04
4,2046,36.367
4,2047,35.723
4,2048,35.105
4,2049,34.51
4,2050,33.931
4,2051,33.363
4,2052,32.798
4,2053,32.234
4,2054,31.668
4,2055,31.101
4,2056,30.535
4,2057,29.977
4,2058,29.431
4,2059,28.9
4,2060,28.386
4,2061,27.89
4,2062,27.411
4,2063,26.947
4,2064,26.498
4,2065,26.065
4,2066,25.646
4,2067,25.24
4,2068,24.846
4,2069,24.461
4,2070,24.087
4,2071,23.721
4,2072,23.363
4,2073,23.012
4,2074,22.664
4,2075,22.316
4,2076,21.962
4,2077,21.602
4,2078,21.235
4,2079,20.863
4,2080,20.491
4,2081,20.123
4,2082,19.766
4,2083,19.424
4,2084,19.097
4,2085,18.785
4,2086,18.485
4,2087,18.191
4,2088,17.9
4,2089,17.611
4,2090,17.323
4,2091,17.039
4,2092,16.76
4,2093,16.487
4,2094,16.222
4,2095,15.965
4,2096,15.718
4,2097,15.48
4,2098,15.252
4,2099,15.034
8,1950,151.191
8,1951,149.786
8,1952,146.812
8,1953,143.51
8,1954,139.88
8,1955,135.925
8,1956,131.655
8,1957,127.091
8,1958,122.269
8,1959,117.25
8,1960,112.108
8,1961,106.927
8,1962,101.801
8,1963,96.81
8,1964,92.013
8,1965,87.421
8,1966,83.008
8,1967,78.724
8,1968,74.545
8,1969,70.497
8,1970,66.615
8,1971,62.945
8,1972,59.534
8,1973,56.425
8,1974,53.645
8,1975,51.239
8,1976,49.246
8,1977,47.638
8,1978,46.363
8,1979,45.362
8,1980,44.557
8,1981,43.865
8,1982,43.206
8,1983,42.504
8,1984,41.701
8,1985,40.75
8,1986,39.627
8,1987,38.373
8,1988,37.034
8,1989,35.638
8,1990,34.234
8,1991,32.879
8,1992,31.614
8,1993,30.457
8,1994,29.411
8,1995,28.444
8,1996,27.504
8,1997,26.536
8,1998,25.502
8,1999,24.399
8,2000,23.237
8,2001,22.045
8,2002,20.873
8,2003,19.766
8,2004,18.75
8,2005,17.849
8,2006,17.081
8,2007,16.435
8,2008,15.894
8,2009,15.446
8,2010,15.072
8,2011,14.748
8,2012,14.451
8,2013,14.158
8,2014,13.855
8,2015,13.533
8,2016,13.195
8,2017,12.851
8,2018,12.512
8,2019,12.18
8,2020,11.855
8,2021,11.539
8,2022,11.232
8,2023,10.933
8,2024,10.644
8,2025,10.365
8,2026,10.097
8,2027,9.839
8,2028,9.591
8,2029,9.353
8,2030,9.123
8,2031,8.902
8,2032,8.688
8,2033,8.48
8,2034,8.278
8,2035,8.082
8,2036,7.891
8,2037,7.705
8,2038,7.524
8,2039,7.348
8,2040,7.177
8,2041,7.01
8,2042,6.846
8,2043,6.686
8,2044,6.531
8,2045,6.379
8,2046,6.233
8,2047,6.092
8,2048,5.957
8,2049,5.827
8,2050,5.702
8,2051,5.582
8,2052,5.465
8,2053,5.352
8,2054,5.242
8,2055,5.134
8,2056,5.031
8,2057,4.931
8,2058,4.835
8,2059,4.743
8,2060,4.653
8,2061,4.566
8,2062,4.48
8,2063,4.394
8,2064,4.309
8,2065,4.225
8,2066,4.142
8,2067,4.061
8,2068,3.983
8,2069,3.907
8,2070,3.834
8,2071,3.763
8,2072,3.694
8,2073,3.627
8,2074,3.56
8,2075,3.495
8,2076,3.43
8,2077,3.367
8,2078,3.306
8,2079,3.246
8,2080,3.187
8,2081,3.129
8,2082,3.072
8,2083,3.017
8,2084,2.963
8,2085,2.91
8,2086,2.858
8,2087,2.806
8,2088,2.757
8,2089,2.708
8,2090,2.661
8,2091,2.617
8,2092,2.574
8,2093,2.533
8,2094,2.495
8,2095,2.46
8,2096,2.426
8,2097,2.396
8,2098,2.368
8,2099,2.343
12,1950,166.539
12,1951,165.698
12,1952,163.987
12,1953,162.218
12,1954,160.391
12,1955,158.506
12,1956,156.563
12,1957,154.567
12,1958,152.52
12,1959,150.431
12,1960,148.307
12,1961,146.16
12,1962,144.002
12,1963,141.846
12,1964,139.7
12,1965,137.597
12,1966,135.568
12,1967,133.61
12,1968,131.692
12,1969,129.774
12,1970,127.819
12,1971,125.792
12,1972,123.627
12,1973,121.239
12,1974,118.541
12,1975,115.375
12,1976,111.58
12,1977,107.129
12,1978,102.08
12,1979,96.537
12,1980,90.662
12,1981,84.656
12,1982,78.76
12,1983,73.198
12,1984,68.129
12,1985,63.693
12,1986,59.96
12,1987,56.845
12,1988,54.252
12,1989,52.128
12,1990,50.4
12,1991,48.977
12,1992,47.758
12,1993,46.649
12,1994,45.579
12,1995,44.506
12,1996,43.422
12,1997,42.363
12,1998,41.357
12,1999,40.401
12,2000,39.495
12,2001,38.647
12,2002,37.859
12,2003,37.125
12,2004,36.434
12,2005,35.771
12,2006,35.121
12,2007,34.469
12,2008,33.799
12,2009,33.096
12,2010,32.348
12,2011,31.544
12,2012,30.69
12,2013,29.792
12,2014,28.855
12,2015,27.882
12,2016,26.878
12,2017,25.856
12,2018,24.83
12,2019,23.816
12,2020,22.831
12,2021,21.889
12,2022,20.998
12,2023,20.163
12,2024,19.387
12,2025,18.673
12,2026,18.017
12,2027,17.409
12,2028,16.837
12,2029,16.295
12,2030,15.777
12,2031,15.28
12,2032,14.8
12,2033,14.338
12,2034,13.889
12,2035,13.454
12,2036,13.031
12,2037,12.623
12,2038,12.231
12,2039,11.854
12,2040,11.491
12,2041,11.141
12,2042,10.802
12,2043,10.474
12,2044,10.156
12,2045,9.847
12,2046,9.547
12,2047,9.257
12,2048,8.977
12,2049,8.71
12,2050,8.456
12,2051,8.217
12,2052,7.995
12,2053,7.79
12,2054,7.601
12,2055,7.429
12,2056,7.271
12,2057,7.126
12,2058,6.99
12,2059,6.863
12,2060,6.743
12,2061,6.627
12,2062,6.517
12,2063,6.411
12,2064,6.309
12,2065,6.209
12,2066,6.112
12,2067,6.018
12,2068,5.927
12,2069,5.838
12,2070,5.751
12,2071,5.664
12,2072,5.578
12,2073,5.492
12,2074,5.407
12,2075,5.324
12,2076,5.244
12,2077,5.167
12,2078,5.095
12,2079,5.027
12,2080,4.962
12,2081,4.9
12,2082,4.84
12,2083,4.78
12,2084,4.719
12,2085,4.659
12,2086,4.598
12,2087,4.538
12,2088,4.48
12,2089,4.423
12,2090,4.369
12,2091,4.317
12,2092,4.268
12,2093,4.221
12,2094,4.177
12,2095,4.136
12,2096,4.097
12,2097,4.062
12,2098,4.028
12,2099,3.998
24,1950,237.341
24,1951,235.693
24,1952,232.415
24,1953,229.171
24,1954,225.963
24,1955,222.789
24,1956,219.651
24,1957,216.547
24,1958,213.479
24,1959,210.448
24,1960,207.453
24,1961,204.496
24,1962,201.577
24,1963,198.696
24,1964,195.851
24,1965,193.042
24,1966,190.265
24,1967,187.518
24,1968,184.802
24,1969,182.117
24,1970,179.443
24,1971,176.752
24,1972,174.049
24,1973,171.364
24,1974,168.743
24,1975,166.275
24,1976,164.057
24,1977,162.151
24,1978,160.584
24,1979,159.348
