country_code,year,life_expectancy_at_birth_both_sexes_combined
4,1950,27.522
4,1951,27.795
4,1952,28.335
4,1953,28.865
4,1954,29.384
4,1955,29.892
4,1956,30.39
4,1957,30.877
4,1958,31.354
4,1959,31.822
4,1960,32.28
4,1961,32.731
4,1962,33.175
4,1963,33.614
4,1964,34.051
4,1965,34.486
4,1966,34.92
4,1967,35.353
4,1968,35.788
4,1969,36.226
4,1970,36.67
4,1971,37.121
4,1972,37.58
4,1973,38.049
4,1974,38.533
4,1975,39.033
4,1976,39.551
4,1977,40.087
4,1978,40.645
4,1979,41.23
4,1980,41.849
4,1981,42.509
4,1982,43.214
4,1983,43.96
4,1984,44.744
4,1985,45.564
4,1986,46.415
4,1987,47.286
4,1988,48.162
4,1989,49.026
4,1990,49.857
4,1991,50.639
4,1992,51.361
4,1993,52.019
4,1994,52.609
4,1995,53.131
4,1996,53.591
4,1997,54.004
4,1998,54.387
4,1999,54.752
4,2000,55.111
4,2001,55.474
4,2002,55.844
4,2003,56.224
4,2004,56.614
4,2005,57.015
4,2006,57.42
4,2007,57.821
4,2008,58.212
4,2009,58.591
4,2010,58.959
4,2011,59.316
4,2012,59.668
4,2013,60.017
4,2014,60.362
4,2015,60.704
4,2016,61.041
4,2017,61.37
4,2018,61.691
4,2019,62.002
4,2020,62.303
4,2021,62.595
4,2022,62.879
4,2023,63.156
4,2024,63.427
4,2025,63.69
4,2026,63.948
4,2027,64.2
4,2028,64.446
4,2029,64.685
4,2030,64.917
4,2031,65.14
4,2032,65.355
4,2033,65.561
4,2034,65.76
4,2035,65.953
4,2036,66.142
4,2037,66.33
4,2038,66.517
4,2039,66.704
4,2040,66.892
4,2041,67.08
4,2042,67.266
4,2043,67.448
4,2044,67.627
4,2045,67.8
4,2046,67.967
4,2047,68.129
4,2048,68.286
4,2049,68.439
4,2050,68.589
4,2051,68.739
4,2052,68.889
4,2053,69.041
4,2054,69.195
4,2055,69.351
4,2056,69.507
4,2057,69.662
4,2058,69.815
4,2059,69.965
4,2060,70.112
4,2061,70.255
4,2062,70.396
4,2063,70.534
4,2064,70.67
4,2065,70.804
4,2066,70.936
4,2067,71.066
4,2068,71.193
4,2069,71.319
4,2070,71.443
4,2071,71.565
4,2072,71.686
4,2073,71.806
4,2074,71.925
4,2075,72.045
4,2076,72.168
4,2077,72.294
4,2078,72.423
4,2079,72.555
4,2080,72.69
4,2081,72.824
4,2082,72.958
4,2083,73.089
4,2084,73.217
4,2085,73.343
4,2086,73.466
4,2087,73.588
4,2088,73.71
4,2089,73.832
4,2090,73.954
4,2091,74.075
4,2092,74.197
4,2093,74.319
4,2094,74.439
4,2095,74.56
4,2096,74.679
4,2097,74.798
4,2098,74.916
4,2099,75.033
8,1950,54.189
8,1951,54.397
8,1952,54.872
8,1953,55.465
8,1954,56.176
8,1955,57.003
8,1956,57.937
8,1957,58.965
8,1958,60.061
8,1959,61.182
8,1960,62.279
8,1961,63.298
8,1962,64.187
8,1963,64.911
8,1964,65.461
8,1965,65.848
8,1966,66.108
8,1967,66.302
8,1968,66.485
8,1969,66.687
8,1970,66.933
8,1971,67.235
8,1972,67.58
8,1973,67.951
8,1974,68.341
8,1975,68.734
8,1976,69.108
8,1977,69.447
8,1978,69.741
8,1979,69.99
8,1980,70.207
8,1981,70.416
8,1982,70.635
8,1983,70.876
8,1984,71.134
8,1985,71.388
8,1986,71.605
8,1987,71.76
8,1988,71.843
8,1989,71.86
8,1990,71.834
8,1991,71.797
8,1992,71.786
8,1993,71.834
8,1994,71.957
8,1995,72.168
8,1996,72.474
8,1997,72.851
8,1998,73.277
8,1999,73.732
8,2000,74.191
8,2001,74.626
8,2002,75.021
8,2003,75.364
8,2004,75.651
8,2005,75.888
8,2006,76.088
8,2007,76.276
8,2008,76.47
8,2009,76.675
8,2010,76.894
8,2011,77.121
8,2012,77.347
8,2013,77.564
8,2014,77.771
8,2015,77.968
8,2016,78.156
8,2017,78.341
8,2018,78.524
8,2019,78.707
8,2020,78.891
8,2021,79.077
8,2022,79.263
8,2023,79.449
8,2024,79.634
8,2025,79.818
8,2026,80.001
8,2027,80.182
8,2028,80.362
8,2029,80.541
8,2030,80.719
8,2031,80.897
8,2032,81.074
8,2033,81.252
8,2034,81.43
8,2035,81.609
8,2036,81.788
8,2037,81.966
8,2038,82.143
8,2039,82.319
8,2040,82.492
8,2041,82.662
8,2042,82.829
8,2043,82.993
8,2044,83.153
8,2045,83.311
8,2046,83.466
8,2047,83.62
8,2048,83.772
8,2049,83.923
8,2050,84.073
8,2051,84.222
8,2052,84.368
8,2053,84.512
8,2054,84.652
8,2055,84.789
8,2056,84.923
8,2057,85.052
8,2058,85.178
8,2059,85.301
8,2060,85.421
8,2061,85.54
8,2062,85.658
8,2063,85.775
8,2064,85.892
8,2065,86.009
8,2066,86.126
8,2067,86.242
8,2068,86.356
8,2069,86.469
8,2070,86.581
8,2071,86.69
8,2072,86.798
8,2073,86.905
8,2074,87.01
8,2075,87.114
8,2076,87.219
8,2077,87.323
8,2078,87.427
8,2079,87.532
8,2080,87.638
8,2081,87.743
8,2082,87.848
8,2083,87.952
8,2084,88.057
8,2085,88.161
8,2086,88.266
8,2087,88.372
8,2088,88.479
8,2089,88.587
8,2090,88.695
8,2091,88.804
8,2092,88.912
8,2093,89.019
8,2094,89.124
8,2095,89.228
8,2096,89.329
8,2097,89.429
8,2098,89.526
8,2099,89.622
12,1950,42.089
12,1951,42.283
12,1952,42.677
12,1953,43.081
12,1954,43.493
12,1955,43.915
12,1956,44.345
12,1957,44.784
12,1958,45.23
12,1959,45.682
12,1960,46.138
12,1961,46.596
12,1962,47.054
12,1963,47.507
12,1964,47.956
12,1965,48.392
12,1966,48.809
12,1967,49.208
12,1968,49.595
12,1969,49.98
12,1970,50.369
12,1971,50.77
12,1972,51.198
12,1973,51.673
12,1974,52.215
12,1975,52.863
12,1976,53.658
12,1977,54.606
12,1978,55.696
12,1979,56.906
12,1980,58.196
12,1981,59.521
12,1982,60.823
12,1983,62.047
12,1984,63.156
12,1985,64.113
12,1986,64.896
