country_code,year,life_expectancy_at_birth_females
4,1950,28.296
4,1951,28.573
4,1952,29.12
4,1953,29.656
4,1954,30.182
4,1955,30.696
4,1956,31.199
4,1957,31.691
4,1958,32.173
4,1959,32.644
4,1960,33.105
4,1961,33.557
4,1962,34.001
4,1963,34.44
4,1964,34.875
4,1965,35.307
4,1966,35.738
4,1967,36.17
4,1968,36.603
4,1969,37.042
4,1970,37.487
4,1971,37.94
4,1972,38.402
4,1973,38.875
4,1974,39.363
4,1975,39.866
4,1976,40.386
4,1977,40.923
4,1978,41.482
4,1979,42.066
4,1980,42.685
4,1981,43.349
4,1982,44.061
4,1983,44.819
4,1984,45.619
4,1985,46.458
4,1986,47.332
4,1987,48.227
4,1988,49.126
4,1989,50.013
4,1990,50.867
4,1991,51.671
4,1992,52.416
4,1993,53.098
4,1994,53.713
4,1995,54.257
4,1996,54.734
4,1997,55.159
4,1998,55.548
4,1999,55.911
4,2000,56.265
4,2001,56.62
4,2002,56.983
4,2003,57.357
4,2004,57.747
4,2005,58.151
4,2006,58.564
4,2007,58.975
4,2008,59.379
4,2009,59.772
4,2010,60.154
4,2011,60.527
4,2012,60.893
4,2013,61.256
4,2014,61.615
4,2015,61.97
4,2016,62.32
4,2017,62.663
4,2018,62.997
4,2019,63.322
4,2020,63.637
4,2021,63.943
4,2022,64.241
4,2023,64.531
4,2024,64.813
4,2025,65.088
4,2026,65.357
4,2027,65.618
4,2028,65.874
4,2029,66.123
4,2030,66.365
4,2031,66.601
4,2032,66.83
4,2033,67.051
4,2034,67.267
4,2035,67.478
4,2036,67.683
4,2037,67.886
4,2038,68.085
4,2039,68.283
4,2040,68.479
4,2041,68.675
4,2042,68.87
4,2043,69.063
4,2044,69.253
4,2045,69.44
4,2046,69.622
4,2047,69.797
4,2048,69.966
4,2049,70.128
4,2050,70.287
4,2051,70.444
4,2052,70.602
4,2053,70.761
4,2054,70.924
4,2055,71.089
4,2056,71.257
4,2057,71.425
4,2058,71.592
4,2059,71.757
4,2060,71.919
4,2061,72.077
4,2062,72.232
4,2063,72.384
4,2064,72.532
4,2065,72.678
4,2066,72.822
4,2067,72.965
4,2068,73.107
4,2069,73.248
4,2070,73.388
4,2071,73.525
4,2072,73.659
4,2073,73.789
4,2074,73.916
4,2075,74.042
4,2076,74.167
4,2077,74.294
4,2078,74.422
4,2079,74.554
