country_code,year,life_expectancy_at_birth_males
4,1950,26.893
4,1951,27.163
4,1952,27.697
4,1953,28.22
4,1954,28.732
4,1955,29.233
4,1956,29.724
4,1957,30.205
4,1958,30.675
4,1959,31.136
4,1960,31.589
4,1961,32.035
4,1962,32.476
4,1963,32.913
4,1964,33.348
4,1965,33.781
4,1966,34.214
4,1967,34.646
4,1968,35.079
4,1969,35.516
4,1970,35.956
4,1971,36.403
4,1972,36.856
4,1973,37.32
4,1974,37.797
4,1975,38.291
4,1976,38.804
4,1977,39.336
4,1978,39.892
4,1979,40.474
4,1980,41.089
4,1981,41.744
4,1982,42.44
4,1983,43.173
4,1984,43.94
4,1985,44.738
4,1986,45.565
4,1987,46.41
4,1988,47.259
4,1989,48.096
4,1990,48.903
4,1991,49.66
4,1992,50.36
4,1993,50.997
4,1994,51.568
4,1995,52.075
4,1996,52.524
4,1997,52.931
4,1998,53.312
4,1999,53.678
4,2000,54.041
4,2001,54.409
4,2002,54.785
4,2003,55.167
4,2004,55.559
4,2005,55.957
4,2006,56.355
4,2007,56.747
4,2008,57.126
4,2009,57.491
4,2010,57.844
4,2011,58.186
4,2012,58.524
4,2013,58.859
4,2014,59.193
4,2015,59.524
4,2016,59.851
4,2017,60.17
4,2018,60.481
4,2019,60.781
4,2020,61.071
4,2021,61.352
4,2022,61.625
4,2023,61.891
4,2024,62.152
4,2025,62.406
4,2026,62.655
4,2027,62.899
4,2028,63.137
4,2029,63.367
4,2030,63.59
4,2031,63.803
4,2032,64.006
4,2033,64.199
4,2034,64.383
4,2035,64.561
4,2036,64.735
4,2037,64.91
4,2038,65.086
4,2039,65.263
4,2040,65.443
4,2041,65.622
4,2042,65.799
4,2043,65.97
4,2044,66.136
4,2045,66.296
4,2046,66.449
4,2047,66.598
4,2048,66.742
4,2049,66.884
4,2050,67.025
4,2051,67.165
4,2052,67.307
4,2053,67.451
4,2054,67.595
4,2055,67.74
4,2056,67.884
4,2057,68.026
4,2058,68.164
4,2059,68.299
4,2060,68.429
4,2061,68.557
4,2062,68.683
4,2063,68.807
4,2064,68.931
4,2065,69.053
4,2066,69.172
4,2067,69.289
4,2068,69.402
4,2069,69.513
4,2070,69.622
4,2071,69.73
4,2072,69.837
4,2073,69.946
4,2074,70.056
4,2075,70.171
4,2076,70.29
4,2077,70.413
4,2078,70.541
4,2079,70.672
4,2080,70.805
4,2081,70.937
4,2082,71.067
4,2083,71.194
4,2084,71.317
4,2085,71.436
4,2086,71.552
4,2087,71.667
4,2088,71.782
4,2089,71.898
4,2090,72.014
4,2091,72.132
4,2092,72.25
4,2093,72.369
4,2094,72.487
4,2095,72.606
4,2096,72.724
4,2097,72.842
4,2098,72.959
4,2099,73.076
8,1950,53.188
8,1951,53.444
8,1952,54.003
8,1953,54.656
8,1954,55.403
8,1955,56.242
