country_code,year,population_change
4,1950,86.82
4,1951,91.318
4,1952,99.419
4,1953,107.594
4,1954,115.83
4,1955,124.108
4,1956,132.416
4,1957,140.74
4,1958,149.077
4,1959,157.441
4,1960,165.877
4,1961,174.456
4,1962,183.27
4,1963,192.399
4,1964,201.862
4,1965,210.074
4,1966,216.6
4,1967,225.426
4,1968,240.365
4,1969,260.541
4,1970,281.551
4,1971,297.844
4,1972,304.862
4,1973,299.43
4,1974,280.384
4,1975,258.015
4,1976,236.89
4,1977,195.82
4,1978,113.618
4,1979,-5.581
4,1980,-143.568
4,1981,-272.827
4,1982,-359.362
4,1983,-377.126
4,1984,-323.754
4,1985,-236.334
4,1986,-145.997
4,1987,-31.494
4,1988,134.637
4,1989,344.262
4,1990,587.497
4,1991,835.653
4,1992,1015.93
4,1993,1063.448
4,1994,976.743
4,1995,808.485
4,1996,632.328
4,1997,515.429
4,1998,501.855
4,1999,594.237
4,2000,744.938
4,2001,891.405
4,2002,987.625
4,2003,1006.949
4,2004,947.414
4,2005,843.015
4,2006,739.537
4,2007,672.898
4,2008,664.754
4,2009,716.293
4,2010,800.362
4,2011,881.861
4,2012,936.483
4,2013,950.548
4,2014,922.464
4,2015,871.671
4,2016,821.638
4,2017,783.123
4,2018,759.945
4,2019,753.541
4,2020,755.242
4,2021,755.47
4,2022,753.152
4,2023,750.052
4,2024,745.739
4,2025,741.113
4,2026,737.121
4,2027,733.411
4,2028,729.295
4,2029,724.618
4,2030,719.505
4,2031,713.957
4,2032,707.402
4,2033,699.262
4,2034,689.503
4,2035,678.573
4,2036,666.968
4,2037,654.804
4,2038,642.058
4,2039,628.781
4,2040,614.975
4,2041,600.601
4,2042,585.572
4,2043,569.831
4,2044,553.436
4,2045,536.538
4,2046,519.34
4,2047,502.079
4,2048,484.942
4,2049,467.984
4,2050,451.026
4,2051,433.92
4,2052,416.824
4,2053,399.943
4,2054,383.264
4,2055,366.654
4,2056,349.95
4,2057,333.041
4,2058,315.864
4,2059,298.396
4,2060,280.732
4,2061,262.952
4,2062,244.973
4,2063,226.689
4,2064,208.11
4,2065,189.346
4,2066,170.499
4,2067,151.567
4,2068,132.526
4,2069,113.411
4,2070,94.329
4,2071,75.352
4,2072,56.409
4,2073,37.425
4,2074,18.466
4,2075,-0.339
4,2076,-18.802
4,2077,-36.671
4,2078,-53.737
4,2079,-69.948
4,2080,-85.455
4,2081,-100.417
4,2082,-114.798
4,2083,-128.513
4,2084,-141.55
4,2085,-153.93
4,2086,-165.656
4,2087,-176.659
4,2088,-186.872
4,2089,-196.296
4,2090,-204.992
4,2091,-213.035
4,2092,-220.474
4,2093,-227.339
4,2094,-233.631
4,2095,-239.334
4,2096,-244.427
4,2097,-248.884
4,2098,-252.68
4,2099,-255.789
8,1950,24.097
8,1951,26.437
8,1952,30.281
8,1953,33.383
8,1954,35.924
8,1955,38.094
8,1956,40.082
8,1957,42.058
8,1958,44.152
8,1959,46.403
8,1960,48.7
8,1961,50.787
8,1962,52.313
8,1963,52.98
8,1964,52.805
8,1965,52.106
8,1966,51.294
8,1967,50.687
8,1968,50.484
8,1969,50.729
8,1970,51.192
8,1971,51.621
8,1972,51.981
8,1973,52.314
8,1974,52.617
8,1975,52.937
8,1976,53.321
8,1977,53.754
8,1978,54.211
8,1979,54.7
8,1980,54.527
8,1981,53.543
8,1982,53.642
8,1983,56.617
8,1984,62.06
8,1985,69.659
8,1986,77.236
8,1987,78.065
8,1988,66.264
8,1989,42.289
8,1990,10.918
8,1991,-20.465
8,1992,-42.962
8,1993,-49.983
8,1994,-41.399
8,1995,-24.263
8,1996,-7.119
8,1997,5.428
8,1998,11.189
8,1999,9.537
8,2000,4.623
8,2001,0.574
8,2002,-3.525
8,2003,-9.683
8,2004,-17.448
8,2005,-26.53
8,2006,-35.687
8,2007,-41.369
8,2008,-40.466
8,2009,-33.043
8,2010,-21.915
8,2011,-10.598
8,2012,-1.364
8,2013,4.503
8,2014,6.699
8,2015,7.012
8,2016,7.374
8,2017,7.861
8,2018,7.993
8,2019,7.862
8,2020,7.392
8,2021,6.53
8,2022,5.442
8,2023,4.327
8,2024,3.233
8,2025,2.089
8,2026,0.823
8,2027,-0.523
8,2028,-1.882
8,2029,-3.234
8,2030,-4.58
8,2031,-5.913
8,2032,-7.177
8,2033,-8.315
8,2034,-9.314
8,2035,-10.218
8,2036,-11.064
8,2037,-11.819
8,2038,-12.441
8,2039,-12.934
8,2040,-13.329
8,2041,-13.66
8,2042,-13.948
8,2043,-14.202
8,2044,-14.43
8,2045,-14.631
8,2046,-14.796
8,2047,-14.92
8,2048,-14.997
8,2049,-15.036
8,2050,-15.051
8,2051,-15.06
8,2052,-15.1
8,2053,-15.2
8,2054,-15.363
8,2055,-15.562
8,2056,-15.769
8,2057,-15.993
8,2058,-16.254
8,2059,-16.546
8,2060,-16.862
8,2061,-17.187
8,2062,-17.504
8,2063,-17.799
8,2064,-18.067
8,2065,-18.323
8,2066,-18.582
8,2067,-18.845
8,2068,-19.109
8,2069,-19.374
8,2070,-19.636
8,2071,-19.892
8,2072,-20.152
8,2073,-20.424
8,2074,-20.706
8,2075,-20.985
8,2076,-21.247
8,2077,-21.493
8,2078,-21.727
8,2079,-21.944
8,2080,-22.136
8,2081,-22.294
8,2082,-22.405
8,2083,-22.456
8,2084,-22.445
8,2085,-22.384
8,2086,-22.28
8,2087,-22.108
8,2088,-21.839
8,2089,-21.475
8,2090,-21.043
8,2091,-20.572
8,2092,-20.082
8,2093,-19.585
8,2094,-19.085
8,2095,-18.575
8,2096,-18.048
8,2097,-17.495
8,2098,-16.908
8,2099,-16.278
