country_code,year,population_growth_rate
4,1950,1.12
4,1951,1.165
4,1952,1.253
4,1953,1.338
4,1954,1.421
4,1955,1.5
4,1956,1.576
4,1957,1.649
4,1958,1.717
4,1959,1.782
4,1960,1.844
4,1961,1.903
4,1962,1.961
4,1963,2.018
4,1964,2.075
4,1965,2.114
4,1966,2.134
4,1967,2.174
4,1968,2.267
4,1969,2.4
4,1970,2.531
4,1971,2.609
4,1972,2.602
4,1973,2.492
4,1974,2.278
4,1975,2.051
4,1976,1.847
4,1977,1.502
4,1978,0.861
4,1979,-0.042
4,1980,-1.09
4,1981,-2.104
4,1982,-2.841
4,1983,-3.071
4,1984,-2.713
4,1985,-2.028
4,1986,-1.274
4,1987,-0.277
4,1988,1.179
4,1989,2.952
4,1990,4.844
4,1991,6.51
4,1992,7.383
4,1993,7.185
4,1994,6.173
4,1995,4.837
4,1996,3.626
4,1997,2.862
4,1998,2.71
4,1999,3.116
4,2000,3.774
4,2001,4.337
4,2002,4.595
4,2003,4.477
4,2004,4.037
4,2005,3.46
4,2006,2.94
4,2007,2.602
4,2008,2.505
4,2009,2.631
4,2010,2.86
4,2011,3.06
4,2012,3.15
4,2013,3.099
4,2014,2.918
4,2015,2.681
4,2016,2.463
4,2017,2.293
4,2018,2.176
4,2019,2.112
4,2020,2.073
4,2021,2.031
4,2022,1.985
4,2023,1.938
4,2024,1.89
4,2025,1.844
4,2026,1.801
4,2027,1.76
4,2028,1.72
4,2029,1.68
4,2030,1.641
4,2031,1.602
4,2032,1.562
4,2033,1.521
4,2034,1.477
4,2035,1.433
4,2036,1.389
4,2037,1.345
4,2038,1.301
4,2039,1.258
4,2040,1.215
4,2041,1.173
4,2042,1.131
4,2043,1.088
4,2044,1.045
4,2045,1.003
4,2046,0.962
4,2047,0.921
4,2048,0.881
4,2049,0.843
4,2050,0.806
4,2051,0.769
4,2052,0.734
4,2053,0.699
4,2054,0.665
4,2055,0.632
4,2056,0.6
4,2057,0.567
4,2058,0.535
4,2059,0.503
4,2060,0.471
4,2061,0.439
4,2062,0.407
4,2063,0.375
4,2064,0.343
4,2065,0.311
4,2066,0.28
4,2067,0.248
4,2068,0.216
4,2069,0.185
4,2070,0.153
4,2071,0.122
4,2072,0.091
4,2073,0.061
4,2074,0.03
4,2075,-0.001
4,2076,-0.03
4,2077,-0.059
4,2078,-0.087
4,2079,-0.114
4,2080,-0.139
4,2081,-0.163
4,2082,-0.187
4,2083,-0.21
4,2084,-0.232
4,2085,-0.253
4,2086,-0.273
4,2087,-0.292
4,2088,-0.309
4,2089,-0.326
4,2090,-0.342
4,2091,-0.356
4,2092,-0.37
4,2093,-0.383
4,2094,-0.395
4,2095,-0.406
4,2096,-0.417
4,2097,-0.426
4,2098,-0.435
4,2099,-0.442
8,1950,1.908
8,1951,2.052
8,1952,2.3
8,1953,2.475
8,1954,2.597
8,1955,2.682
8,1956,2.747
8,1957,2.803
8,1958,2.86
8,1959,2.921
8,1960,2.976
8,1961,3.012
8,1962,3.011
8,1963,2.959
8,1964,2.865
8,1965,2.749
8,1966,2.634
8,1967,2.537
8,1968,2.464
8,1969,2.416
8,1970,2.381
8,1971,2.344
8,1972,2.306
8,1973,2.269
8,1974,2.231
8,1975,2.196
8,1976,2.164
8,1977,2.135
8,1978,2.108
8,1979,2.083
