country_code,year,rate_of_natural_increase
4,1950,11.701
4,1951,12.15
4,1952,13.032
4,1953,13.878
4,1954,14.69
4,1955,15.469
4,1956,16.213
4,1957,16.924
4,1958,17.603
4,1959,18.251
4,1960,18.873
4,1961,19.472
4,1962,20.049
4,1963,20.607
4,1964,21.15
4,1965,21.676
4,1966,22.182
4,1967,22.666
4,1968,23.128
4,1969,23.571
4,1970,23.997
4,1971,24.408
4,1972,24.809
4,1973,25.205
4,1974,25.604
4,1975,26.009
4,1976,26.428
4,1977,26.862
4,1978,27.311
4,1979,27.78
4,1980,28.274
4,1981,28.795
4,1982,29.341
4,1983,29.906
4,1984,30.48
4,1985,31.05
4,1986,31.601
4,1987,32.122
4,1988,32.607
4,1989,33.053
4,1990,33.474
4,1991,33.888
4,1992,34.31
4,1993,34.738
4,1994,35.162
4,1995,35.557
4,1996,35.893
4,1997,36.142
4,1998,36.279
4,1999,36.293
4,2000,36.183
4,2001,35.957
4,2002,35.636
4,2003,35.236
4,2004,34.758
4,2005,34.191
4,2006,33.507
4,2007,32.704
4,2008,31.789
4,2009,30.79
4,2010,29.747
4,2011,28.709
4,2012,27.719
4,2013,26.808
4,2014,25.995
4,2015,25.28
4,2016,24.647
4,2017,24.06
4,2018,23.49
4,2019,22.926
4,2020,22.366
4,2021,21.812
4,2022,21.273
4,2023,20.757
4,2024,20.261
4,2025,19.787
4,2026,19.332
4,2027,18.894
4,2028,18.466
4,2029,18.045
4,2030,17.625
4,2031,17.204
4,2032,16.779
4,2033,16.348
4,2034,15.911
4,2035,15.467
4,2036,15.017
4,2037,14.566
4,2038,14.116
4,2039,13.668
4,2040,13.224
4,2041,12.783
4,2042,12.343
4,2043,11.908
4,2044,11.476
4,2045,11.049
4,2046,10.627
4,2047,10.212
4,2048,9.804
4,2049,9.403
4,2050,9.011
4,2051,8.63
4,2052,8.256
4,2053,7.892
4,2054,7.536
4,2055,7.187
4,2056,6.844
4,2057,6.505
4,2058,6.17
4,2059,5.837
4,2060,5.504
4,2061,5.172
4,2062,4.841
4,2063,4.51
4,2064,4.179
4,2065,3.85
4,2066,3.52
4,2067,3.192
4,2068,2.864
4,2069,2.54
4,2070,2.215
4,2071,1.893
4,2072,1.573
4,2073,1.255
4,2074,0.94
4,2075,0.632
4,2076,0.329
4,2077,0.034
4,2078,-0.252
4,2079,-0.527
4,2080,-0.793
4,2081,-1.047
4,2082,-1.293
4,2083,-1.528
4,2084,-1.754
4,2085,-1.97
4,2086,-2.175
4,2087,-2.371
4,2088,-2.556
4,2089,-2.731
4,2090,-2.896
4,2091,-3.051
4,2092,-3.196
4,2093,-3.333
4,2094,-3.46
4,2095,-3.579
4,2096,-3.69
4,2097,-3.791
4,2098,-3.883
4,2099,-3.967
8,1950,20.658
8,1951,21.399
8,1952,22.823
8,1953,24.131
8,1954,25.324
8,1955,26.397
8,1956,27.344
8,1957,28.159
8,1958,28.826
8,1959,29.315
8,1960,29.597
8,1961,29.649
8,1962,29.452
8,1963,29.016
8,1964,28.375
8,1965,27.589
8,1966,26.732
8,1967,25.876
8,1968,25.085
8,1969,24.395
8,1970,23.825
8,1971,23.364
8,1972,22.968
8,1973,22.602
8,1974,22.258
8,1975,21.929
8,1976,21.615
8,1977,21.321
8,1978,21.053
8,1979,20.81
8,1980,20.612
8,1981,20.475
8,1982,20.403
8,1983,20.38
8,1984,20.383
8,1985,20.371
8,1986,20.296
8,1987,20.121
8,1988,19.82
8,1989,19.379
8,1990,18.799
8,1991,18.092
8,1992,17.297
8,1993,16.452
8,1994,15.581
8,1995,14.706
8,1996,13.845
8,1997,13.001
8,1998,12.176
8,1999,11.375
8,2000,10.583
8,2001,9.772
8,2002,8.931
8,2003,8.069
8,2004,7.214
8,2005,6.426
8,2006,5.775
8,2007,5.31
8,2008,5.053
8,2009,4.995
8,2010,5.111
8,2011,5.344
8,2012,5.621
8,2013,5.874
8,2014,6.064
8,2015,6.169
8,2016,6.187
8,2017,6.14
8,2018,6.049
8,2019,5.913
8,2020,5.729
8,2021,5.494
8,2022,5.208
8,2023,4.877
8,2024,4.507
8,2025,4.102
8,2026,3.669
8,2027,3.217
8,2028,2.756
8,2029,2.295
8,2030,1.846
8,2031,1.414
8,2032,1.004
8,2033,0.617
8,2034,0.259
8,2035,-0.063
8,2036,-0.347
8,2037,-0.597
8,2038,-0.815
8,2039,-1.002
8,2040,-1.161
8,2041,-1.293
8,2042,-1.404
8,2043,-1.496
8,2044,-1.577
8,2045,-1.647
8,2046,-1.71
8,2047,-1.769
8,2048,-1.823
8,2049,-1.88
8,2050,-1.942
8,2051,-2.013
8,2052,-2.092
8,2053,-2.182
8,2054,-2.286
8,2055,-2.402
8,2056,-2.534
8,2057,-2.68
8,2058,-2.836
8,2059,-3.002
8,2060,-3.176
8,2061,-3.354
8,2062,-3.535
8,2063,-3.718
8,2064,-3.9
8,2065,-4.081
8,2066,-4.263
8,2067,-4.447
8,2068,-4.632
8,2069,-4.821
8,2070,-5.015
8,2071,-5.214
8,2072,-5.419
8,2073,-5.628
8,2074,-5.841
8,2075,-6.056
8,2076,-6.275
8,2077,-6.493
8,2078,-6.71
8,2079,-6.92
8,2080,-7.12
8,2081,-7.307
8,2082,-7.48
8,2083,-7.634
8,2084,-7.763
8,2085,-7.865
8,2086,-7.934
8,2087,-7.968
8,2088,-7.97
8,2089,-7.939
8,2090,-7.877
8,2091,-7.789
8,2092,-7.678
8,2093,-7.548
8,2094,-7.403
8,2095,-7.242
8,2096,-7.069
8,2097,-6.882
8,2098,-6.683
8,2099,-6.471
12,1950,26.795
12,1951,26.855
12,1952,26.996
12,1953,27.178
12,1954,27.402
12,1955,27.664
12,1956,27.963
12,1957,28.293
12,1958,28.644
12,1959,28.996
12,1960,29.33
12,1961,29.624
12,1962,29.859
12,1963,30.023
12,1964,30.12
12,1965,30.161
12,1966,30.17
12,1967,30.179
12,1968,30.211
12,1969,30.277
12,1970,30.388
12,1971,30.541
12,1972,30.721
12,1973,30.914
12,1974,31.108
12,1975,31.3
12,1976,31.488
12,1977,31.665
12,1978,31.814
12,1979,31.916
12,1980,31.947
12,1981,31.881
12,1982,31.706
12,1983,31.41
12,1984,30.982
12,1985,30.416
12,1986,29.712
12,1987,28.885
12,1988,27.956
12,1989,26.936
12,1990,25.825
12,1991,24.614
12,1992,23.314
12,1993,21.955
12,1994,20.581
12,1995,19.235
12,1996,17.962
12,1997,16.802
12,1998,15.8
12,1999,14.998
12,2000,14.455
12,2001,14.216
12,2002,14.271
12,2003,14.585
12,2004,15.119
12,2005,15.824
12,2006,16.645
12,2007,17.505
12,2008,18.321
12,2009,19.024
12,2010,19.535
12,2011,19.798
12,2012,19.816
12,2013,19.607
12,2014,19.184
12,2015,18.578
12,2016,17.839
12,2017,17.03
12,2018,16.213
12,2019,15.426
12,2020,14.692
12,2021,14.013
12,2022,13.374
12,2023,12.759
12,2024,12.175
12,2025,11.626
12,2026,11.119
12,2027,10.655
12,2028,10.233
12,2029,9.857
12,2030,9.528
12,2031,9.245
12,2032,9.005
12,2033,8.803
12,2034,8.633
12,2035,8.493
12,2036,8.377
12,2037,8.281
12,2038,8.202
12,2039,8.127
12,2040,8.053
12,2041,7.975
12,2042,7.89
12,2043,7.792
12,2044,7.677
12,2045,7.54
12,2046,7.375
12,2047,7.182
12,2048,6.964
12,2049,6.719
12,2050,6.45
12,2051,6.158
12,2052,5.848
12,2053,5.524
12,2054,5.195
12,2055,4.864
12,2056,4.536
12,2057,4.212
12,2058,3.898
12,2059,3.597
12,2060,3.312
12,2061,3.049
12,2062,2.805
12,2063,2.582
12,2064,2.377
12,2065,2.195
12,2066,2.032
12,2067,1.887
12,2068,1.759
12,2069,1.645
12,2070,1.543
12,2071,1.454
12,2072,1.375
12,2073,1.308
12,2074,1.247
12,2075,1.191
12,2076,1.138
12,2077,1.087
12,2078,1.036
12,2079,0.984
12,2080,0.93
12,2081,0.874
12,2082,0.816
12,2083,0.756
12,2084,0.694
12,2085,0.626
12,2086,0.551
12,2087,0.469
12,2088,0.377
12,2089,0.276
12,2090,0.166
12,2091,0.047
12,2092,-0.079
12,2093,-0.21
12,2094,-0.347
12,2095,-0.488
12,2096,-0.633
12,2097,-0.781
12,2098,-0.934
12,2099,-1.089
24,1950,19.136
24,1951,19.301
24,1952,19.629
24,1953,19.95
24,1954,20.266
24,1955,20.578
24,1956,20.883
24,1957,21.184
24,1958,21.481
24,1959,21.775
24,1960,22.067
24,1961,22.358
24,1962,22.652
24,1963,22.951
24,1964,23.257
24,1965,23.576
24,1966,23.912
24,1967,24.264
24,1968,24.633
24,1969,25.019
24,1970,25.423
24,1971,25.852
24,1972,26.299
24,1973,26.754
24,1974,27.206
24,1975,27.631
24,1976,28.008
24,1977,28.323
24,1978,28.57
24,1979,28.748
24,1980,28.868
24,1981,28.945
24,1982,29.005
24,1983,29.062
24,1984,29.126
24,1985,29.193
24,1986,29.25
24,1987,29.288
24,1988,29.301
24,1989,29.297
24,1990,29.291
24,1991,29.297
