country_code,year,total_fertility
4,1950,7.45
4,1951,7.45
4,1952,7.45
4,1953,7.45
4,1954,7.45
4,1955,7.45
4,1956,7.45
4,1957,7.45
4,1958,7.45
4,1959,7.45
4,1960,7.45
4,1961,7.45
4,1962,7.45
4,1963,7.45
4,1964,7.45
4,1965,7.45
4,1966,7.45
4,1967,7.45
4,1968,7.45
4,1969,7.45
4,1970,7.45
4,1971,7.45
4,1972,7.45
4,1973,7.45
4,1974,7.45
4,1975,7.45
4,1976,7.45
4,1977,7.449
4,1978,7.449
4,1979,7.449
4,1980,7.449
4,1981,7.449
4,1982,7.45
4,1983,7.452
4,1984,7.455
4,1985,7.458
4,1986,7.46
4,1987,7.461
4,1988,7.461
4,1989,7.461
4,1990,7.466
4,1991,7.479
4,1992,7.502
4,1993,7.535
4,1994,7.572
4,1995,7.606
4,1996,7.63
4,1997,7.636
4,1998,7.617
4,1999,7.571
4,2000,7.496
4,2001,7.395
4,2002,7.273
4,2003,7.137
4,2004,6.987
4,2005,6.822
4,2006,6.639
4,2007,6.437
4,2008,6.218
4,2009,5.985
4,2010,5.746
4,2011,5.506
4,2012,5.272
4,2013,5.05
4,2014,4.843
4,2015,4.653
4,2016,4.477
4,2017,4.311
4,2018,4.153
4,2019,4.001
4,2020,3.855
4,2021,3.716
4,2022,3.585
4,2023,3.462
4,2024,3.348
4,2025,3.242
4,2026,3.144
4,2027,3.054
4,2028,2.971
4,2029,2.894
4,2030,2.823
4,2031,2.758
4,2032,2.696
4,2033,2.639
4,2034,2.586
4,2035,2.535
4,2036,2.487
4,2037,2.441
4,2038,2.399
4,2039,2.358
4,2040,2.32
4,2041,2.284
4,2042,2.249
4,2043,2.216
4,2044,2.185
4,2045,2.155
4,2046,2.126
4,2047,2.099
4,2048,2.073
4,2049,2.048
4,2050,2.025
4,2051,2.003
4,2052,1.981
4,2053,1.961
4,2054,1.942
4,2055,1.924
4,2056,1.908
4,2057,1.892
4,2058,1.877
4,2059,1.863
4,2060,1.85
4,2061,1.837
4,2062,1.825
4,2063,1.814
4,2064,1.804
4,2065,1.794
4,2066,1.786
4,2067,1.777
4,2068,1.77
4,2069,1.763
4,2070,1.757
4,2071,1.752
4,2072,1.748
4,2073,1.743
4,2074,1.74
4,2075,1.737
4,2076,1.734
4,2077,1.732
4,2078,1.73
4,2079,1.728
4,2080,1.727
4,2081,1.726
4,2082,1.726
4,2083,1.725
4,2084,1.725
4,2085,1.725
4,2086,1.725
4,2087,1.726
4,2088,1.726
4,2089,1.727
4,2090,1.728
4,2091,1.729
4,2092,1.73
4,2093,1.731
4,2094,1.732
4,2095,1.734
4,2096,1.736
4,2097,1.737
4,2098,1.739
4,2099,1.741
8,1950,5.963
8,1951,6.041
8,1952,6.186
8,1953,6.308
8,1954,6.408
8,1955,6.484
8,1956,6.537
8,1957,6.566
8,1958,6.569
8,1959,6.544
8,1960,6.489
8,1961,6.401
8,1962,6.282
8,1963,6.133
8,1964,5.96
8,1965,5.773
8,1966,5.581
8,1967,5.394
8,1968,5.218
8,1969,5.057
8,1970,4.91
8,1971,4.775
8,1972,4.642
8,1973,4.509
8,1974,4.373
8,1975,4.235
8,1976,4.099
8,1977,3.966
8,1978,3.841
8,1979,3.725
8,1980,3.621
8,1981,3.53
8,1982,3.452
8,1983,3.383
8,1984,3.323
8,1985,3.269
8,1986,3.217
8,1987,3.164
8,1988,3.108
8,1989,3.046
8,1990,2.978
8,1991,2.905
8,1992,2.829
8,1993,2.751
8,1994,2.672
8,1995,2.591
8,1996,2.508
8,1997,2.423
8,1998,2.337
8,1999,2.249
8,2000,2.16
8,2001,2.068
8,2002,1.975
8,2003,1.884
8,2004,1.798
8,2005,1.724
8,2006,1.668
8,2007,1.635
8,2008,1.625
8,2009,1.636
8,2010,1.663
8,2011,1.699
8,2012,1.735
8,2013,1.765
8,2014,1.784
8,2015,1.793
8,2016,1.792
8,2017,1.787
8,2018,1.781
8,2019,1.776
8,2020,1.772
8,2021,1.77
8,2022,1.769
8,2023,1.768
8,2024,1.767
8,2025,1.766
8,2026,1.765
8,2027,1.765
8,2028,1.764
8,2029,1.764
8,2030,1.764
8,2031,1.764
8,2032,1.764
8,2033,1.764
8,2034,1.764
8,2035,1.764
8,2036,1.764
8,2037,1.764
8,2038,1.765
8,2039,1.765
8,2040,1.766
8,2041,1.766
8,2042,1.767
8,2043,1.768
8,2044,1.769
8,2045,1.77
8,2046,1.771
8,2047,1.772
8,2048,1.773
8,2049,1.773
8,2050,1.774
8,2051,1.775
8,2052,1.775
8,2053,1.776
8,2054,1.777
8,2055,1.778
8,2056,1.778
8,2057,1.779
8,2058,1.78
8,2059,1.781
8,2060,1.782
8,2061,1.783
8,2062,1.784
8,2063,1.785
8,2064,1.786
8,2065,1.787
8,2066,1.789
8,2067,1.79
8,2068,1.792
8,2069,1.793
8,2070,1.794
8,2071,1.796
8,2072,1.797
8,2073,1.798
8,2074,1.8
8,2075,1.801
8,2076,1.802
8,2077,1.803
8,2078,1.805
8,2079,1.805
8,2080,1.806
8,2081,1.807
8,2082,1.808
8,2083,1.809
8,2084,1.81
8,2085,1.81
8,2086,1.811
8,2087,1.812
8,2088,1.813
8,2089,1.814
8,2090,1.815
8,2091,1.816
8,2092,1.817
8,2093,1.819
8,2094,1.82
8,2095,1.821
8,2096,1.822
8,2097,1.823
8,2098,1.823
8,2099,1.824
12,1950,7.287
12,1951,7.279
12,1952,7.27
12,1953,7.271
12,1954,7.282
12,1955,7.303
12,1956,7.335
12,1957,7.375
12,1958,7.421
12,1959,7.472
12,1960,7.524
12,1961,7.573
12,1962,7.614
12,1963,7.646
12,1964,7.665
12,1965,7.675
12,1966,7.676
12,1967,7.672
12,1968,7.666
12,1969,7.656
12,1970,7.643
12,1971,7.624
12,1972,7.597
12,1973,7.558
12,1974,7.505
12,1975,7.434
12,1976,7.344
12,1977,7.234
12,1978,7.105
12,1979,6.957
12,1980,6.794
12,1981,6.617
12,1982,6.43
12,1983,6.237
12,1984,6.038
12,1985,5.835
12,1986,5.627
12,1987,5.412
12,1988,5.191
12,1989,4.962
12,1990,4.726
12,1991,4.479
12,1992,4.223
12,1993,3.962
12,1994,3.702
12,1995,3.448
12,1996,3.208
12,1997,2.988
12,1998,2.796
12,1999,2.635
12,2000,2.514
12,2001,2.438
12,2002,2.404
12,2003,2.407
12,2004,2.441
12,2005,2.499
12,2006,2.576
12,2007,2.661
12,2008,2.744
12,2009,2.818
12,2010,2.873
12,2011,2.903
12,2012,2.909
12,2013,2.893
12,2014,2.857
12,2015,2.805
12,2016,2.742
12,2017,2.675
12,2018,2.61
12,2019,2.552
12,2020,2.502
12,2021,2.459
12,2022,2.422
12,2023,2.388
12,2024,2.355
12,2025,2.325
12,2026,2.296
12,2027,2.269
12,2028,2.244
12,2029,2.22
12,2030,2.197
12,2031,2.175
12,2032,2.155
12,2033,2.136
12,2034,2.118
12,2035,2.102
12,2036,2.086
12,2037,2.071
12,2038,2.057
12,2039,2.043
12,2040,2.031
12,2041,2.019
12,2042,2.007
12,2043,1.997
12,2044,1.987
12,2045,1.978
12,2046,1.969
12,2047,1.961
12,2048,1.954
12,2049,1.948
12,2050,1.942
12,2051,1.936
12,2052,1.931
12,2053,1.927
12,2054,1.922
12,2055,1.918
12,2056,1.914
12,2057,1.91
12,2058,1.907
12,2059,1.903
12,2060,1.9
12,2061,1.897
12,2062,1.894
12,2063,1.892
12,2064,1.889
12,2065,1.887
12,2066,1.885
12,2067,1.884
12,2068,1.882
12,2069,1.881
12,2070,1.88
12,2071,1.878
12,2072,1.877
12,2073,1.877
12,2074,1.876
12,2075,1.875
12,2076,1.874
12,2077,1.873
12,2078,1.872
12,2079,1.872
12,2080,1.871
12,2081,1.87
12,2082,1.87
12,2083,1.87
12,2084,1.87
12,2085,1.87
12,2086,1.87
12,2087,1.87
12,2088,1.87
12,2089,1.87
12,2090,1.87
12,2091,1.869
12,2092,1.869
12,2093,1.869
12,2094,1.868
12,2095,1.868
12,2096,1.869
12,2097,1.869
12,2098,1.869
12,2099,1.87
24,1950,7.281
24,1951,7.286
24,1952,7.295
24,1953,7.304
24,1954,7.314
24,1955,7.325
24,1956,7.336
24,1957,7.347
24,1958,7.358
24,1959,7.369
24,1960,7.379
24,1961,7.388
24,1962,7.396
24,1963,7.402
24,1964,7.406
24,1965,7.408
24,1966,7.406
24,1967,7.401
24,1968,7.394
24,1969,7.385
24,1970,7.375
24,1971,7.367
24,1972,7.36
24,1973,7.355
24,1974,7.352
24,1975,7.35
24,1976,7.349
24,1977,7.347
24,1978,7.343
24,1979,7.337
24,1980,7.329
24,1981,7.319
24,1982,7.309
24,1983,7.299
24,1984,7.289
24,1985,7.279
24,1986,7.268
24,1987,7.256
24,1988,7.242
24,1989,7.226
24,1990,7.208
24,1991,7.187
24,1992,7.164
24,1993,7.139
24,1994,7.112
24,1995,7.083
24,1996,7.051
24,1997,7.017
24,1998,6.981
24,1999,6.943
24,2000,6.905
24,2001,6.866
24,2002,6.829
24,2003,6.792
24,2004,6.755
24,2005,6.716
24,2006,6.671
24,2007,6.619
24,2008,6.559
24,2009,6.492
24,2010,6.416
24,2011,6.335
24,2012,6.251
24,2013,6.165
24,2014,6.08
24,2015,5.996
24,2016,5.913
24,2017,5.831
24,2018,5.748
24,2019,5.666
24,2020,5.583
24,2021,5.501
24,2022,5.419
24,2023,5.337
24,2024,5.256
24,2025,5.176
24,2026,5.096
24,2027,5.017
24,2028,4.939
24,2029,4.862
24,2030,4.786
24,2031,4.71
24,2032,4.636
24,2033,4.562
24,2034,4.489
24,2035,4.418
24,2036,4.347
24,2037,4.278
24,2038,4.21
24,2039,4.144
24,2040,4.079
24,2041,4.016
24,2042,3.954
24,2043,3.893
24,2044,3.833
24,2045,3.775
24,2046,3.718
24,2047,3.662
24,2048,3.608
24,2049,3.555
24,2050,3.504
24,2051,3.455
24,2052,3.407
24,2053,3.36
24,2054,3.315
24,2055,3.271
24,2056,3.228
24,2057,3.187
24,2058,3.146
24,2059,3.107
24,2060,3.069
24,2061,3.033
24,2062,2.997
24,2063,2.963
24,2064,2.93
24,2065,2.897
24,2066,2.866
24,2067,2.836
24,2068,2.807
24,2069,2.779
24,2070,2.751
24,2071,2.724
24,2072,2.698
24,2073,2.672
24,2074,2.647
24,2075,2.623
24,2076,2.599
24,2077,2.576
24,2078,2.553
24,2079,2.531
24,2080,2.509
24,2081,2.488
24,2082,2.467
24,2083,2.447
24,2084,2.428
24,2085,2.409
24,2086,2.391
24,2087,2.373
24,2088,2.355
