country_code,year,total_population_annual_doubling_time
4,1950,61.891
4,1951,59.519
4,1952,55.333
4,1953,51.796
4,1954,48.782
4,1955,46.198
4,1956,43.971
4,1957,42.043
4,1958,40.365
4,1959,38.895
4,1960,37.593
4,1961,36.42
4,1962,35.345
4,1963,34.344
4,1964,33.411
4,1965,32.785
4,1966,32.48
4,1967,31.887
4,1968,30.577
4,1969,28.875
4,1970,27.388
4,1971,26.563
4,1972,26.637
4,1973,27.82
4,1974,30.427
4,1975,33.788
4,1976,37.525
4,1977,46.162
4,1978,80.505
4,1979,-1645.498
4,1980,-63.611
4,1981,-32.944
4,1982,-24.4
4,1983,-22.574
4,1984,-25.546
4,1985,-34.175
4,1986,-54.414
4,1987,-250.295
4,1988,58.814
4,1989,23.482
4,1990,14.308
4,1991,10.647
4,1992,9.389
4,1993,9.647
4,1994,11.228
4,1995,14.331
4,1996,19.115
4,1997,24.223
4,1998,25.581
4,1999,22.243
4,2000,18.365
4,2001,15.983
4,2002,15.085
4,2003,15.482
4,2004,17.17
4,2005,20.033
4,2006,23.579
4,2007,26.642
4,2008,27.665
4,2009,26.343
4,2010,24.232
4,2011,22.654
4,2012,22.005
4,2013,22.367
4,2014,23.752
4,2015,25.85
4,2016,28.139
4,2017,30.233
4,2018,31.859
4,2019,32.826
4,2020,33.444
4,2021,34.127
4,2022,34.926
4,2023,35.765
4,2024,36.667
4,2025,37.592
4,2026,38.49
4,2027,39.38
4,2028,40.297
4,2029,41.253
4,2030,42.241
4,2031,43.266
4,2032,44.363
4,2033,45.577
4,2034,46.92
4,2035,48.374
4,2036,49.915
4,2037,51.542
4,2038,53.265
4,2039,55.091
4,2040,57.028
4,2041,59.095
4,2042,61.313
4,2043,63.71
4,2044,66.301
4,2045,69.093
4,2046,72.086
4,2047,75.269
4,2048,78.634
4,2049,82.189
4,2050,85.986
4,2051,90.082
4,2052,94.484
4,2053,99.18
4,2054,104.205
4,2055,109.634
4,2056,115.577
4,2057,122.156
4,2058,129.511
4,2059,137.806
4,2060,147.192
4,2061,157.861
4,2062,170.165
4,2063,184.612
4,2064,201.817
4,2065,222.544
4,2066,247.876
4,2067,279.574
4,2068,320.485
4,2069,375.253
4,2070,451.929
4,2071,566.522
4,2072,757.576
4,2073,1142.725
4,2074,2317.041
4,2075,-126222.206
4,2076,-2275.619
4,2077,-1166.24
4,2078,-795.267
4,2079,-610.346
4,2080,-498.961
4,2081,-423.976
