country_code,year,total_population_natural_change_increase
4,1950,91.358
4,1951,95.395
4,1952,103.488
4,1953,111.619
4,1954,119.786
4,1955,127.993
4,1956,136.241
4,1957,144.539
4,1958,152.903
4,1959,161.353
4,1960,169.918
4,1961,178.634
4,1962,187.536
4,1963,196.66
4,1964,206.036
4,1965,215.706
4,1966,225.714
4,1967,236.041
4,1968,246.645
4,1969,257.474
4,1970,268.563
4,1971,279.97
4,1972,291.609
4,1973,303.288
4,1974,314.752
4,1975,325.597
4,1976,335.391
4,1977,343.89
4,1978,350.982
4,1979,356.671
4,1980,360.797
4,1981,363.242
4,1982,364.463
4,1983,365.197
4,1984,366.249
4,1985,368.664
4,1986,373.481
4,1987,381.414
4,1988,393.0
4,1989,408.592
4,1990,428.564
4,1991,453.029
4,1992,481.197
4,1993,512.04
4,1994,544.661
4,1995,578.044
4,1996,611.235
4,1997,643.465
4,1998,674.004
4,1999,702.212
4,2000,727.874
4,2001,751.193
4,2002,772.614
4,2003,792.297
4,2004,809.933
4,2005,824.67
4,2006,835.483
4,2007,841.941
4,2008,844.116
4,2009,842.526
4,2010,838.27
4,2011,832.778
4,2012,827.458
4,2013,823.358
4,2014,820.952
4,2015,820.195
4,2016,820.508
4,2017,820.808
4,2018,820.266
4,2019,818.655
4,2020,815.959
4,2021,812.387
4,2022,808.377
4,2023,804.267
4,2024,800.144
4,2025,796.081
4,2026,792.088
4,2027,788.004
4,2028,783.638
4,2029,778.842
4,2030,773.426
4,2031,767.206
4,2032,760.068
4,2033,751.936
4,2034,742.757
4,2035,732.533
4,2036,721.318
4,2037,709.258
4,2038,696.494
4,2039,683.103
4,2040,669.123
4,2041,654.555
4,2042,639.399
4,2043,623.694
4,2044,607.516
4,2045,590.933
4,2046,574.004
4,2047,556.788
4,2048,539.363
4,2049,521.812
4,2050,504.226
4,2051,486.673
4,2052,469.162
4,2053,451.686
4,2054,434.246
4,2055,416.819
4,2056,399.363
4,2057,381.811
4,2058,364.102
4,2059,346.198
4,2060,328.066
4,2061,309.681
4,2062,291.062
4,2063,272.232
4,2064,253.21
4,2065,234.007
4,2066,214.632
4,2067,195.123
4,2068,175.529
4,2069,155.903
4,2070,136.264
4,2071,116.609
4,2072,96.971
4,2073,77.422
4,2074,58.064
4,2075,39.005
4,2076,20.342
4,2077,2.155
4,2078,-15.472
4,2079,-32.457
4,2080,-48.75
4,2081,-64.335
4,2082,-79.249
4,2083,-93.509
4,2084,-107.099
4,2085,-119.996
4,2086,-132.179
4,2087,-143.644
4,2088,-154.396
4,2089,-164.442
4,2090,-173.795
4,2091,-182.479
4,2092,-190.511
4,2093,-197.911
4,2094,-204.695
4,2095,-210.871
4,2096,-216.446
4,2097,-221.421
4,2098,-225.799
4,2099,-229.579
8,1950,26.215
8,1951,27.523
8,1952,30.121
8,1953,32.687
8,1954,35.219
8,1955,37.713
8,1956,40.152
8,1957,42.517
8,1958,44.769
8,1959,46.837
8,1960,48.644
8,1961,50.116
8,1962,51.189
8,1963,51.84
8,1964,52.104
8,1965,52.063
8,1966,51.832
8,1967,51.55
8,1968,51.334
8,1969,51.25
8,1970,51.328
8,1971,51.554
8,1972,51.861
8,1973,52.196
8,1974,52.552
8,1975,52.923
8,1976,53.309
8,1977,53.721
8,1978,54.174
8,1979,54.684
8,1980,55.321
8,1981,56.174
8,1982,57.251
8,1983,58.495
8,1984,59.803
8,1985,61.003
8,1986,61.896
8,1987,62.316
8,1988,62.149
8,1989,61.342
8,1990,59.883
8,1991,57.816
8,1992,55.307
8,1993,52.523
8,1994,49.575
8,1995,46.584
8,1996,43.639
8,1997,40.775
8,1998,38.015
8,1999,35.391
8,2000,32.85
8,2001,30.294
8,2002,27.657
8,2003,24.944
8,2004,22.233
8,2005,19.7
8,2006,17.567
8,2007,15.988
8,2008,15.042
8,2009,14.719
8,2010,14.934
8,2011,15.537
8,2012,16.297
8,2013,17.014
8,2014,17.57
8,2015,17.891
8,2016,17.97
8,2017,17.871
8,2018,17.647
8,2019,17.292
8,2020,16.792
8,2021,16.137
8,2022,15.326
8,2023,14.375
8,2024,13.301
8,2025,12.12
8,2026,10.848
8,2027,9.512
8,2028,8.144
8,2029,6.78
8,2030,5.447
8,2031,4.169
8,2032,2.952
8,2033,1.812
8,2034,0.762
8,2035,-0.181
8,2036,-1.007
8,2037,-1.727
8,2038,-2.348
8,2039,-2.876
8,2040,-3.318
8,2041,-3.68
8,2042,-3.973
8,2043,-4.214
8,2044,-4.417
8,2045,-4.591
8,2046,-4.743
8,2047,-4.878
8,2048,-5.003
8,2049,-5.129
8,2050,-5.269
8,2051,-5.428
8,2052,-5.611
8,2053,-5.819
8,2054,-6.058
8,2055,-6.33
8,2056,-6.637
8,2057,-6.974
8,2058,-7.336
8,2059,-7.716
8,2060,-8.109
8,2061,-8.508
8,2062,-8.907
8,2063,-9.302
8,2064,-9.689
8,2065,-10.066
8,2066,-10.436
8,2067,-10.801
8,2068,-11.164
8,2069,-11.527
8,2070,-11.891
8,2071,-12.26
8,2072,-12.631
8,2073,-13.004
8,2074,-13.375
8,2075,-13.742
8,2076,-14.104
8,2077,-14.456
8,2078,-14.792
8,2079,-15.104
8,2080,-15.383
8,2081,-15.626
8,2082,-15.828
8,2083,-15.981
8,2084,-16.08
8,2085,-16.117
8,2086,-16.083
8,2087,-15.979
8,2088,-15.809
8,2089,-15.576
8,2090,-15.29
8,2091,-14.959
8,2092,-14.591
8,2093,-14.195
8,2094,-13.777
8,2095,-13.342
8,2096,-12.889
8,2097,-12.424
8,2098,-11.944
8,2099,-11.45
12,1950,240.845
12,1951,243.568
12,1952,249.474
12,1953,256.3
12,1954,264.047
12,1955,272.701
12,1956,282.216
12,1957,292.528
12,1958,303.517
12,1959,314.97
12,1960,326.645
12,1961,338.3
12,1962,349.708
