country_code,year,total_survivors_to_age_1
4,1950,276.916
4,1951,280.031
4,1952,286.429
4,1953,293.14
4,1954,300.165
4,1955,307.509
4,1956,315.177
4,1957,323.172
4,1958,331.495
4,1959,340.15
4,1960,349.138
4,1961,358.458
4,1962,368.107
4,1963,378.076
4,1964,388.362
4,1965,399.013
4,1966,410.108
4,1967,421.639
4,1968,433.532
4,1969,445.669
4,1970,458.041
4,1971,470.67
4,1972,483.38
4,1973,495.839
4,1974,507.635
4,1975,518.115
4,1976,526.588
4,1977,532.704
4,1978,536.324
4,1979,537.482
4,1980,536.039
4,1981,531.937
4,1982,525.902
4,1983,519.034
4,1984,512.498
4,1985,507.808
4,1986,506.463
4,1987,509.432
4,1988,517.442
4,1989,531.003
4,1990,550.549
4,1991,576.099
4,1992,606.507
4,1993,640.36
4,1994,676.482
4,1995,713.603
4,1996,750.582
4,1997,786.596
4,1998,820.86
4,1999,852.61
4,2000,881.54
4,2001,907.813
4,2002,931.937
4,2003,954.146
4,2004,974.164
4,2005,991.182
4,2006,1004.196
4,2007,1012.793
4,2008,1017.067
4,2009,1017.557
4,2010,1015.374
4,2011,1011.961
4,2012,1008.726
4,2013,1006.738
4,2014,1006.513
4,2015,1008.04
4,2016,1010.762
4,2017,1013.596
4,2018,1015.71
4,2019,1016.883
4,2020,1017.1
4,2021,1016.568
4,2022,1015.721
4,2023,1014.901
4,2024,1014.204
4,2025,1013.706
4,2026,1013.413
4,2027,1013.172
4,2028,1012.8
4,2029,1012.168
4,2030,1011.102
4,2031,1009.44
4,2032,1007.08
4,2033,1003.949
4,2034,1000.005
4,2035,995.232
4,2036,989.667
4,2037,983.44
4,2038,976.687
4,2039,969.492
4,2040,961.91
4,2041,953.96
4,2042,945.67
4,2043,937.105
4,2044,928.363
4,2045,919.539
4,2046,910.713
4,2047,901.939
4,2048,893.281
4,2049,884.81
4,2050,876.587
4,2051,868.647
4,2052,860.967
4,2053,853.52
4,2054,846.293
4,2055,839.276
4,2056,832.452
4,2057,825.78
4,2058,819.215
4,2059,812.71
4,2060,806.221
4,2061,799.708
4,2062,793.156
4,2063,786.556
4,2064,779.903
4,2065,773.195
4,2066,766.45
4,2067,759.701
4,2068,752.977
4,2069,746.298
4,2070,739.67
4,2071,733.094
4,2072,726.568
4,2073,720.1
4,2074,713.706
4,2075,707.407
4,2076,701.224
4,2077,695.17
4,2078,689.259
4,2079,683.5
4,2080,677.901
4,2081,672.463
4,2082,667.173
4,2083,662.021
4,2084,656.997
4,2085,652.098
4,2086,647.321
4,2087,642.66
4,2088,638.104
4,2089,633.643
4,2090,629.265
4,2091,624.96
4,2092,620.721
4,2093,616.544
4,2094,612.423
4,2095,608.357
4,2096,604.344
4,2097,600.386
4,2098,596.48
4,2099,592.627
8,1950,40.767
8,1951,41.924
8,1952,44.211
8,1953,46.436
8,1954,48.6
8,1955,50.699
8,1956,52.726
8,1957,54.671
8,1958,56.507
8,1959,58.194
8,1960,59.682
8,1961,60.924
8,1962,61.881
8,1963,62.544
8,1964,62.942
8,1965,63.138
8,1966,63.221
8,1967,63.288
8,1968,63.416
8,1969,63.65
8,1970,63.997
8,1971,64.429
8,1972,64.885
8,1973,65.325
8,1974,65.745
8,1975,66.158
8,1976,66.581
8,1977,67.047
8,1978,67.587
8,1979,68.219
8,1980,69.007
8,1981,70.02
8,1982,71.25
8,1983,72.635
8,1984,74.081
8,1985,75.445
8,1986,76.568
8,1987,77.309
8,1988,77.552
8,1989,77.229
8,1990,76.289
8,1991,74.725
8,1992,72.652
8,1993,70.197
8,1994,67.456
8,1995,64.529
8,1996,61.506
8,1997,58.456
8,1998,55.448
8,1999,52.551
8,2000,49.771
8,2001,47.066
8,2002,44.408
8,2003,41.811
8,2004,39.356
8,2005,37.195
8,2006,35.506
8,2007,34.39
8,2008,33.877
8,2009,33.941
8,2010,34.491
8,2011,35.39
8,2012,36.438
8,2013,37.455
8,2014,38.33
8,2015,38.992
8,2016,39.423
8,2017,39.686
8,2018,39.82
8,2019,39.819
8,2020,39.67
8,2021,39.355
8,2022,38.883
8,2023,38.267
8,2024,37.528
8,2025,36.681
8,2026,35.745
8,2027,34.747
8,2028,33.723
8,2029,32.703
8,2030,31.721
8,2031,30.795
8,2032,29.934
8,2033,29.147
8,2034,28.451
8,2035,27.86
8,2036,27.383
8,2037,27.013
8,2038,26.738
