country_code,year,under_five_mortality
4,1950,420.97
4,1951,417.337
4,1952,410.174
4,1953,403.217
4,1954,396.466
4,1955,389.92
4,1956,383.578
4,1957,377.438
4,1958,371.493
4,1959,365.734
4,1960,360.148
4,1961,354.718
4,1962,349.423
4,1963,344.235
4,1964,339.129
4,1965,334.086
4,1966,329.1
4,1967,324.161
4,1968,319.253
4,1969,314.347
4,1970,309.423
4,1971,304.469
4,1972,299.47
4,1973,294.402
4,1974,289.234
4,1975,283.945
4,1976,278.526
4,1977,272.965
4,1978,267.236
4,1979,261.308
4,1980,255.114
4,1981,248.587
4,1982,241.712
4,1983,234.51
4,1984,227.023
4,1985,219.276
4,1986,211.293
4,1987,203.179
4,1988,195.076
4,1989,187.134
4,1990,179.541
4,1991,172.471
4,1992,166.007
4,1993,160.195
4,1994,155.06
4,1995,150.593
4,1996,146.735
4,1997,143.33
4,1998,140.22
4,1999,137.292
4,2000,134.435
4,2001,131.563
4,2002,128.655
4,2003,125.698
4,2004,122.673
4,2005,119.589
4,2006,116.49
4,2007,113.44
4,2008,110.492
4,2009,107.66
4,2010,104.943
4,2011,102.321
4,2012,99.763
4,2013,97.247
4,2014,94.766
4,2015,92.326
4,2016,89.935
4,2017,87.609
4,2018,85.36
4,2019,83.191
4,2020,81.102
4,2021,79.09
4,2022,77.146
4,2023,75.262
4,2024,73.435
4,2025,71.66
4,2026,69.934
4,2027,68.257
4,2028,66.631
4,2029,65.056
4,2030,63.537
4,2031,62.082
4,2032,60.694
4,2033,59.372
4,2034,58.109
4,2035,56.896
4,2036,55.72
4,2037,54.568
4,2038,53.432
4,2039,52.306
4,2040,51.189
4,2041,50.084
4,2042,48.999
4,2043,47.943
4,2044,46.919
4,2045,45.933
4,2046,44.993
4,2047,44.097
4,2048,43.243
4,2049,42.426
4,2050,41.638
4,2051,40.867
4,2052,40.106
4,2053,39.346
4,2054,38.586
4,2055,37.826
4,2056,37.068
4,2057,36.321
4,2058,35.592
4,2059,34.885
4,2060,34.202
4,2061,33.546
4,2062,32.915
4,2063,32.308
4,2064,31.724
4,2065,31.163
4,2066,30.623
4,2067,30.102
4,2068,29.598
4,2069,29.108
4,2070,28.631
4,2071,28.166
4,2072,27.712
4,2073,27.267
4,2074,26.828
4,2075,26.389
4,2076,25.944
4,2077,25.491
4,2078,25.031
4,2079,24.565
4,2080,24.1
4,2081,23.642
4,2082,23.199
4,2083,22.776
4,2084,22.374
4,2085,21.991
4,2086,21.624
4,2087,21.266
4,2088,20.912
4,2089,20.56
4,2090,20.211
4,2091,19.867
4,2092,19.529
4,2093,19.2
4,2094,18.881
4,2095,18.575
4,2096,18.281
4,2097,18.0
4,2098,17.733
4,2099,17.478
8,1950,202.838
8,1951,200.876
8,1952,196.723
8,1953,192.107
8,1954,187.028
8,1955,181.49
8,1956,175.509
8,1957,169.113
8,1958,162.354
8,1959,155.317
8,1960,148.108
8,1961,140.846
8,1962,133.663
8,1963,126.676
8,1964,119.965
8,1965,113.553
8,1966,107.403
8,1967,101.445
8,1968,95.647
8,1969,90.041
8,1970,84.681
8,1971,79.629
8,1972,74.951
8,1973,70.699
8,1974,66.909
8,1975,63.634
8,1976,60.917
8,1977,58.716
8,1978,56.957
8,1979,55.563
8,1980,54.431
8,1981,53.458
8,1982,52.543
8,1983,51.593
8,1984,50.535
8,1985,49.312
8,1986,47.903
8,1987,46.358
8,1988,44.73
8,1989,43.044
8,1990,41.342
8,1991,39.668
8,1992,38.061
8,1993,36.543
8,1994,35.126
8,1995,33.806
8,1996,32.564
8,1997,31.362
8,1998,30.164
8,1999,28.953
8,2000,27.699
8,2001,26.373
8,2002,24.982
8,2003,23.551
8,2004,22.113
8,2005,20.726
8,2006,19.462
8,2007,18.371
8,2008,17.48
8,2009,16.795
8,2010,16.293
8,2011,15.931
8,2012,15.641
8,2013,15.365
8,2014,15.073
8,2015,14.748
8,2016,14.389
8,2017,14.018
8,2018,13.655
8,2019,13.299
8,2020,12.952
8,2021,12.614
8,2022,12.286
8,2023,11.968
8,2024,11.659
8,2025,11.36
8,2026,11.073
8,2027,10.796
8,2028,10.531
8,2029,10.275
8,2030,10.029
8,2031,9.791
8,2032,9.562
8,2033,9.339
8,2034,9.122
8,2035,8.911
8,2036,8.706
8,2037,8.506
8,2038,8.311
8,2039,8.122
8,2040,7.937
8,2041,7.757
8,2042,7.581
8,2043,7.409
8,2044,7.241
8,2045,7.078
8,2046,6.92
8,2047,6.767
8,2048,6.621
8,2049,6.481
8,2050,6.346
8,2051,6.216
8,2052,6.09
8,2053,5.968
8,2054,5.848
8,2055,5.732
8,2056,5.62
8,2057,5.512
8,2058,5.409
8,2059,5.309
8,2060,5.212
8,2061,5.118
8,2062,5.024
8,2063,4.931
8,2064,4.839
8,2065,4.748
8,2066,4.658
8,2067,4.57
8,2068,4.485
8,2069,4.403
8,2070,4.323
8,2071,4.246
8,2072,4.171
8,2073,4.097
8,2074,4.025
8,2075,3.954
8,2076,3.883
8,2077,3.815
8,2078,3.747
8,2079,3.682
8,2080,3.617
8,2081,3.554
8,2082,3.493
8,2083,3.432
8,2084,3.373
8,2085,3.314
