key,value,file
concept,name,ddf--concepts--continuous.csv
concept,concept_type,ddf--concepts--continuous.csv
concept,unit,ddf--concepts--continuous.csv
concept,name,ddf--concepts--discrete.csv
concept,concept_type,ddf--concepts--discrete.csv
"country_code,year",births,ddf--datapoints--births--by--country_code--year.csv
"country_code,year",crude_birth_rate,ddf--datapoints--crude_birth_rate--by--country_code--year.csv
"country_code,year",crude_death_rate,ddf--datapoints--crude_death_rate--by--country_code--year.csv
"country_code,year",deaths,ddf--datapoints--deaths--by--country_code--year.csv
"country_code,year",female_deaths,ddf--datapoints--female_deaths--by--country_code--year.csv
"country_code,year",infant_deaths_both_sexes_combined,ddf--datapoints--infant_deaths_both_sexes_combined--by--country_code--year.csv
"country_code,year",infant_mortality_rate,ddf--datapoints--infant_mortality_rate--by--country_code--year.csv
"country_code,year",life_expectancy_at_birth_both_sexes_combined,ddf--datapoints--life_expectancy_at_birth_both_sexes_combined--by--country_code--year.csv
"country_code,year",life_expectancy_at_birth_females,ddf--datapoints--life_expectancy_at_birth_females--by--country_code--year.csv
"country_code,year",life_expectancy_at_birth_males,ddf--datapoints--life_expectancy_at_birth_males--by--country_code--year.csv
"country_code,year",male_deaths,ddf--datapoints--male_deaths--by--country_code--year.csv
"country_code,year",population_change,ddf--datapoints--population_change--by--country_code--year.csv
"country_code,year",population_growth_rate,ddf--datapoints--population_growth_rate--by--country_code--year.csv
"country_code,year",rate_of_natural_increase,ddf--datapoints--rate_of_natural_increase--by--country_code--year.csv
"country_code,year",total_fertility,ddf--datapoints--total_fertility--by--country_code--year.csv
"country_code,year",total_population_annual_doubling_time,ddf--datapoints--total_population_annual_doubling_time--by--country_code--year.csv
"country_code,year",total_population_natural_change_increase,ddf--datapoints--total_population_natural_change_increase--by--country_code--year.csv
"country_code,year",total_survivors_to_age_1,ddf--datapoints--total_survivors_to_age_1--by--country_code--year.csv
"country_code,year",under_five_mortality,ddf--datapoints--under_five_mortality--by--country_code--year.csv
country_code,major_area_region_country_or_area,ddf--entities--country_code.csv
