concept,name,concept_type,unit
life_expectancy_at_birth_females,"Life expectancy at birth, females",measure,years
life_expectancy_at_birth_both_sexes_combined,"Life expectancy at birth, both sexes combined",measure,years
under_five_mortality,Under-five mortality,measure,"deaths under age 5 per 1,000 live births"
population_change,Population change,measure,thousands
deaths,Deaths,measure,thousands
total_fertility,Total fertility,measure,children per woman
births,Births,measure,thousands
population_growth_rate,Population growth rate,measure,percentage
infant_mortality_rate,Infant mortality rate,measure,"infant deaths per 1,000 live births"
infant_deaths_both_sexes_combined,"Infant deaths, both sexes combined",measure,"under age 1, thousands"
life_expectancy_at_birth_males,"Life expectancy at birth, males",measure,years
male_deaths,Male deaths,measure,thousands
total_population_annual_doubling_time,Total population annual doubling time [n=(ln(2)/r],measure,years
rate_of_natural_increase,Rate of natural increase,measure,"per 1,000 population"
total_population_natural_change_increase,Total population natural change / increase,measure,thousands
crude_birth_rate,Crude birth rate,measure,"births per 1,000 population"
female_deaths,Female deaths,measure,thousands
total_survivors_to_age_1,Total survivors to age 1,measure,thousands
crude_death_rate,Crude death rate,measure,"deaths per 1,000 population"
