country_code,reference_date_1_january_31_december,births_thousands,variant
4,1950,390.67,Estimates
4,1951,393.588,Estimates
4,1952,399.622,Estimates
4,1953,406.049,Estimates
4,1954,412.869,Estimates
4,1955,420.083,Estimates
4,1956,427.693,Estimates
4,1957,435.701,Estimates
4,1958,444.111,Estimates
4,1959,452.93,Estimates
4,1960,462.164,Estimates
4,1961,471.82,Estimates
4,1962,481.897,Estimates
4,1963,492.387,Estimates
4,1964,503.275,Estimates
4,1965,514.618,Estimates
4,1966,526.501,Estimates
4,1967,538.891,Estimates
4,1968,551.669,Estimates
4,1969,564.658,Estimates
4,1970,577.829,Estimates
4,1971,591.199,Estimates
4,1972,604.537,Estimates
4,1973,617.422,Estimates
4,1974,629.328,Estimates
4,1975,639.447,Estimates
4,1976,646.944,Estimates
4,1977,651.419,Estimates
4,1978,652.733,Estimates
4,1979,650.961,Estimates
4,1980,645.953,Estimates
4,1981,637.663,Estimates
4,1982,627.012,Estimates
4,1983,615.361,Estimates
4,1984,604.131,Estimates
4,1985,595.107,Estimates
4,1986,590.014,Estimates
4,1987,589.949,Estimates
4,1988,595.717,Estimates
4,1989,607.863,Estimates
4,1990,626.855,Estimates
4,1991,652.699,Estimates
4,1992,684.066,Estimates
4,1993,719.35,Estimates
4,1994,757.247,Estimates
4,1995,796.351,Estimates
4,1996,835.399,Estimates
4,1997,873.434,Estimates
4,1998,909.524,Estimates
4,1999,942.789,Estimates
4,2000,972.843,Estimates
4,2001,999.831,Estimates
4,2002,1024.319,Estimates
4,2003,1046.57,Estimates
4,2004,1066.283,Estimates
4,2005,1082.591,Estimates
4,2006,1094.454,Estimates
4,2007,1101.497,Estimates
4,2008,1103.891,Estimates
4,2009,1102.262,Estimates
4,2010,1097.839,Estimates
4,2011,1092.181,Estimates
4,2012,1086.791,Estimates
4,2013,1082.8,Estimates
4,2014,1080.751,Estimates
4,2015,1080.621,Estimates
4,2015,1080.621,Medium variant
4,2016,1081.81,Medium variant
4,2017,1083.16,Medium variant
4,2018,1083.787,Medium variant
4,2019,1083.46,Medium variant
4,2020,1082.167,Medium variant
4,2021,1080.132,Medium variant
4,2022,1077.815,Medium variant
4,2023,1075.575,Medium variant
4,2024,1073.511,Medium variant
4,2025,1071.699,Medium variant
