country_code,reference_date_1_january_31_december,crude_birth_rate,variant
900,1950,37.814,Estimates
900,1951,37.549,Estimates
900,1952,37.055,Estimates
900,1953,36.632,Estimates
900,1954,36.281,Estimates
900,1955,35.999,Estimates
900,1956,35.785,Estimates
900,1957,35.635,Estimates
900,1958,35.539,Estimates
900,1959,35.484,Estimates
900,1960,35.452,Estimates
900,1961,35.424,Estimates
900,1962,35.376,Estimates
900,1963,35.287,Estimates
900,1964,35.143,Estimates
900,1965,34.931,Estimates
900,1966,34.647,Estimates
900,1967,34.301,Estimates
900,1968,33.903,Estimates
900,1969,33.458,Estimates
900,1970,32.962,Estimates
900,1971,32.411,Estimates
900,1972,31.813,Estimates
900,1973,31.184,Estimates
900,1974,30.546,Estimates
900,1975,29.931,Estimates
900,1976,29.372,Estimates
900,1977,28.89,Estimates
900,1978,28.497,Estimates
900,1979,28.199,Estimates
900,1980,28.002,Estimates
900,1981,27.901,Estimates
900,1982,27.867,Estimates
900,1983,27.865,Estimates
900,1984,27.864,Estimates
900,1985,27.822,Estimates
900,1986,27.697,Estimates
900,1987,27.472,Estimates
900,1988,27.138,Estimates
900,1989,26.697,Estimates
900,1990,26.157,Estimates
900,1991,25.543,Estimates
900,1992,24.894,Estimates
900,1993,24.25,Estimates
900,1994,23.636,Estimates
900,1995,23.076,Estimates
900,1996,22.584,Estimates
900,1997,22.156,Estimates
900,1998,21.786,Estimates
900,1999,21.477,Estimates
900,2000,21.225,Estimates
900,2001,21.024,Estimates
900,2002,20.863,Estimates
900,2003,20.727,Estimates
900,2004,20.607,Estimates
900,2005,20.495,Estimates
900,2006,20.387,Estimates
900,2007,20.281,Estimates
900,2008,20.176,Estimates
900,2009,20.064,Estimates
900,2010,19.942,Estimates
900,2011,19.807,Estimates
900,2012,19.659,Estimates
900,2013,19.498,Estimates
900,2014,19.324,Estimates
900,2015,19.136,Estimates
901,1950,22.582,Estimates
901,1951,22.551,Estimates
901,1952,22.475,Estimates
901,1953,22.369,Estimates
901,1954,22.231,Estimates
901,1955,22.063,Estimates
901,1956,21.862,Estimates
901,1957,21.628,Estimates
901,1958,21.36,Estimates
901,1959,21.053,Estimates
901,1960,20.705,Estimates
901,1961,20.314,Estimates
901,1962,19.882,Estimates
901,1963,19.417,Estimates
901,1964,18.93,Estimates
901,1965,18.441,Estimates
901,1966,17.974,Estimates
901,1967,17.542,Estimates
901,1968,17.158,Estimates
901,1969,16.825,Estimates
901,1970,16.539,Estimates
901,1971,16.286,Estimates
901,1972,16.049,Estimates
901,1973,15.815,Estimates
901,1974,15.581,Estimates
901,1975,15.353,Estimates
901,1976,15.139,Estimates
901,1977,14.952,Estimates
901,1978,14.797,Estimates
901,1979,14.674,Estimates
901,1980,14.579,Estimates
901,1981,14.509,Estimates
901,1982,14.451,Estimates
901,1983,14.393,Estimates
901,1984,14.323,Estimates
901,1985,14.227,Estimates
901,1986,14.093,Estimates
901,1987,13.916,Estimates
901,1988,13.699,Estimates
901,1989,13.445,Estimates
901,1990,13.159,Estimates
901,1991,12.852,Estimates
901,1992,12.539,Estimates
901,1993,12.235,Estimates
901,1994,11.953,Estimates
901,1995,11.702,Estimates
901,1996,11.489,Estimates
901,1997,11.314,Estimates
901,1998,11.176,Estimates
901,1999,11.075,Estimates
901,2000,11.015,Estimates
901,2001,10.999,Estimates
901,2002,11.021,Estimates
901,2003,11.071,Estimates
901,2004,11.14,Estimates
901,2005,11.213,Estimates
901,2006,11.274,Estimates
901,2007,11.314,Estimates
901,2008,11.327,Estimates
901,2009,11.31,Estimates
901,2010,11.265,Estimates
901,2011,11.202,Estimates
901,2012,11.134,Estimates
901,2013,11.07,Estimates
901,2014,11.015,Estimates
901,2015,10.968,Estimates
902,1950,44.98,Estimates
902,1951,44.586,Estimates
902,1952,43.855,Estimates
902,1953,43.239,Estimates
902,1954,42.737,Estimates
902,1955,42.35,Estimates
902,1956,42.073,Estimates
902,1957,41.9,Estimates
902,1958,41.819,Estimates
902,1959,41.809,Estimates
902,1960,41.847,Estimates
902,1961,41.901,Estimates
902,1962,41.939,Estimates
902,1963,41.926,Estimates
902,1964,41.836,Estimates
902,1965,41.645,Estimates
902,1966,41.337,Estimates
902,1967,40.924,Estimates
902,1968,40.419,Estimates
902,1969,39.828,Estimates
902,1970,39.152,Estimates
902,1971,38.391,Estimates
902,1972,37.564,Estimates
902,1973,36.7,Estimates
902,1974,35.831,Estimates
902,1975,34.997,Estimates
902,1976,34.24,Estimates
902,1977,33.582,Estimates
902,1978,33.037,Estimates
902,1979,32.612,Estimates
902,1980,32.312,Estimates
902,1981,32.134,Estimates
902,1982,32.041,Estimates
902,1983,31.991,Estimates
902,1984,31.946,Estimates
902,1985,31.856,Estimates
902,1986,31.672,Estimates
902,1987,31.372,Estimates
902,1988,30.947,Estimates
902,1989,30.396,Estimates
902,1990,29.733,Estimates
902,1991,28.982,Estimates
902,1992,28.194,Estimates
902,1993,27.413,Estimates
902,1994,26.669,Estimates
902,1995,25.988,Estimates
902,1996,25.387,Estimates
902,1997,24.86,Estimates
902,1998,24.4,Estimates
902,1999,24.008,Estimates
902,2000,23.68,Estimates
902,2001,23.408,Estimates
902,2002,23.177,Estimates
902,2003,22.973,Estimates
902,2004,22.785,Estimates
902,2005,22.608,Estimates
902,2006,22.44,Estimates
902,2007,22.28,Estimates
902,2008,22.126,Estimates
902,2009,21.974,Estimates
902,2010,21.816,Estimates
902,2011,21.646,Estimates
902,2012,21.462,Estimates
902,2013,21.263,Estimates
902,2014,21.047,Estimates
902,2015,20.813,Estimates
941,1950,48.039,Estimates
941,1951,48.052,Estimates
941,1952,48.077,Estimates
941,1953,48.095,Estimates
941,1954,48.107,Estimates
941,1955,48.112,Estimates
941,1956,48.112,Estimates
941,1957,48.104,Estimates
941,1958,48.09,Estimates
941,1959,48.067,Estimates
941,1960,48.036,Estimates
941,1961,47.994,Estimates
941,1962,47.942,Estimates
941,1963,47.879,Estimates
941,1964,47.804,Estimates
941,1965,47.718,Estimates
941,1966,47.622,Estimates
941,1967,47.515,Estimates
941,1968,47.402,Estimates
941,1969,47.282,Estimates
941,1970,47.159,Estimates
941,1971,47.034,Estimates
941,1972,46.91,Estimates
941,1973,46.785,Estimates
941,1974,46.661,Estimates
941,1975,46.54,Estimates
941,1976,46.423,Estimates
941,1977,46.308,Estimates
941,1978,46.191,Estimates
941,1979,46.063,Estimates
941,1980,45.916,Estimates
941,1981,45.737,Estimates
941,1982,45.518,Estimates
941,1983,45.257,Estimates
941,1984,44.952,Estimates
941,1985,44.604,Estimates
941,1986,44.217,Estimates
941,1987,43.802,Estimates
941,1988,43.371,Estimates
941,1989,42.932,Estimates
941,1990,42.495,Estimates
941,1991,42.067,Estimates
941,1992,41.651,Estimates
941,1993,41.248,Estimates
941,1994,40.859,Estimates
941,1995,40.483,Estimates
941,1996,40.117,Estimates
941,1997,39.753,Estimates
941,1998,39.386,Estimates
941,1999,39.013,Estimates
941,2000,38.629,Estimates
941,2001,38.235,Estimates
941,2002,37.83,Estimates
941,2003,37.417,Estimates
941,2004,36.996,Estimates
941,2005,36.566,Estimates
941,2006,36.128,Estimates
941,2007,35.684,Estimates
941,2008,35.238,Estimates
941,2009,34.793,Estimates
941,2010,34.356,Estimates
941,2011,33.933,Estimates
941,2012,33.526,Estimates
941,2013,33.136,Estimates
941,2014,32.765,Estimates
941,2015,32.409,Estimates
934,1950,44.586,Estimates
934,1951,44.14,Estimates
934,1952,43.312,Estimates
934,1953,42.615,Estimates
934,1954,42.047,Estimates
934,1955,41.609,Estimates
934,1956,41.296,Estimates
934,1957,41.101,Estimates
934,1958,41.01,Estimates
934,1959,41.001,Estimates
934,1960,41.046,Estimates
934,1961,41.112,Estimates
934,1962,41.16,Estimates
934,1963,41.153,Estimates
934,1964,41.06,Estimates
934,1965,40.854,Estimates
934,1966,40.518,Estimates
934,1967,40.066,Estimates
934,1968,39.509,Estimates
934,1969,38.857,Estimates
934,1970,38.109,Estimates
934,1971,37.265,Estimates
934,1972,36.346,Estimates
934,1973,35.385,Estimates
934,1974,34.416,Estimates
934,1975,33.488,Estimates
934,1976,32.644,Estimates
934,1977,31.911,Estimates
934,1978,31.305,Estimates
934,1979,30.834,Estimates
934,1980,30.508,Estimates
934,1981,30.323,Estimates
934,1982,30.24,Estimates
934,1983,30.21,Estimates
934,1984,30.192,Estimates
934,1985,30.128,Estimates
934,1986,29.962,Estimates
934,1987,29.667,Estimates
934,1988,29.231,Estimates
934,1989,28.652,Estimates
934,1990,27.942,Estimates
934,1991,27.131,Estimates
934,1992,26.271,Estimates
934,1993,25.417,Estimates
934,1994,24.601,Estimates
934,1995,23.854,Estimates
934,1996,23.194,Estimates
934,1997,22.618,Estimates
934,1998,22.119,Estimates
934,1999,21.697,Estimates
934,2000,21.351,Estimates
934,2001,21.071,Estimates
934,2002,20.84,Estimates
934,2003,20.642,Estimates
934,2004,20.465,Estimates
934,2005,20.303,Estimates
934,2006,20.152,Estimates
934,2007,20.014,Estimates
934,2008,19.885,Estimates
934,2009,19.757,Estimates
934,2010,19.622,Estimates
934,2011,19.471,Estimates
934,2012,19.301,Estimates
934,2013,19.109,Estimates
934,2014,18.895,Estimates
934,2015,18.657,Estimates
948,1950,44.169,Estimates
948,1951,44.228,Estimates
948,1952,44.328,Estimates
948,1953,44.391,Estimates
948,1954,44.417,Estimates
948,1955,44.405,Estimates
948,1956,44.356,Estimates
948,1957,44.269,Estimates
948,1958,44.143,Estimates
948,1959,43.976,Estimates
948,1960,43.768,Estimates
948,1961,43.519,Estimates
948,1962,43.229,Estimates
948,1963,42.904,Estimates
948,1964,42.55,Estimates
948,1965,42.178,Estimates
948,1966,41.799,Estimates
948,1967,41.419,Estimates
948,1968,41.047,Estimates
948,1969,40.686,Estimates
948,1970,40.337,Estimates
948,1971,39.993,Estimates
948,1972,39.649,Estimates
948,1973,39.3,Estimates
948,1974,38.948,Estimates
948,1975,38.6,Estimates
948,1976,38.267,Estimates
948,1977,37.955,Estimates
948,1978,37.664,Estimates
948,1979,37.386,Estimates
948,1980,37.11,Estimates
948,1981,36.819,Estimates
948,1982,36.496,Estimates
948,1983,36.132,Estimates
948,1984,35.722,Estimates
948,1985,35.262,Estimates
948,1986,34.756,Estimates
948,1987,34.216,Estimates
948,1988,33.658,Estimates
948,1989,33.09,Estimates
948,1990,32.521,Estimates
948,1991,31.957,Estimates
948,1992,31.403,Estimates
948,1993,30.864,Estimates
948,1994,30.345,Estimates
948,1995,29.851,Estimates
948,1996,29.385,Estimates
948,1997,28.945,Estimates
