country_code,reference_date_1_january_31_december,crude_death_rate,variant
900,1950,20.116,Estimates
900,1951,19.879,Estimates
900,1952,19.424,Estimates
900,1953,19.008,Estimates
900,1954,18.631,Estimates
900,1955,18.291,Estimates
900,1956,17.985,Estimates
900,1957,17.709,Estimates
900,1958,17.453,Estimates
900,1959,17.199,Estimates
900,1960,16.931,Estimates
900,1961,16.628,Estimates
900,1962,16.275,Estimates
900,1963,15.863,Estimates
900,1964,15.397,Estimates
900,1965,14.893,Estimates
900,1966,14.377,Estimates
900,1967,13.879,Estimates
900,1968,13.421,Estimates
900,1969,13.015,Estimates
900,1970,12.662,Estimates
900,1971,12.356,Estimates
900,1972,12.077,Estimates
900,1973,11.812,Estimates
900,1974,11.558,Estimates
900,1975,11.314,Estimates
900,1976,11.083,Estimates
900,1977,10.871,Estimates
900,1978,10.68,Estimates
900,1979,10.51,Estimates
900,1980,10.358,Estimates
900,1981,10.22,Estimates
900,1982,10.093,Estimates
900,1983,9.974,Estimates
900,1984,9.859,Estimates
900,1985,9.748,Estimates
900,1986,9.642,Estimates
900,1987,9.541,Estimates
900,1988,9.447,Estimates
900,1989,9.359,Estimates
900,1990,9.276,Estimates
900,1991,9.197,Estimates
900,1992,9.121,Estimates
900,1993,9.047,Estimates
900,1994,8.975,Estimates
900,1995,8.903,Estimates
900,1996,8.832,Estimates
900,1997,8.763,Estimates
900,1998,8.694,Estimates
900,1999,8.627,Estimates
900,2000,8.56,Estimates
900,2001,8.492,Estimates
900,2002,8.422,Estimates
900,2003,8.352,Estimates
900,2004,8.28,Estimates
900,2005,8.21,Estimates
900,2006,8.141,Estimates
900,2007,8.075,Estimates
900,2008,8.014,Estimates
900,2009,7.959,Estimates
900,2010,7.912,Estimates
900,2011,7.873,Estimates
900,2012,7.841,Estimates
900,2013,7.817,Estimates
900,2014,7.801,Estimates
900,2015,7.79,Estimates
901,1950,11.11,Estimates
901,1951,10.982,Estimates
901,1952,10.736,Estimates
901,1953,10.51,Estimates
901,1954,10.304,Estimates
901,1955,10.117,Estimates
901,1956,9.951,Estimates
901,1957,9.805,Estimates
901,1958,9.679,Estimates
901,1959,9.575,Estimates
901,1960,9.492,Estimates
901,1961,9.432,Estimates
901,1962,9.393,Estimates
901,1963,9.373,Estimates
901,1964,9.371,Estimates
901,1965,9.381,Estimates
901,1966,9.402,Estimates
901,1967,9.429,Estimates
901,1968,9.459,Estimates
901,1969,9.488,Estimates
901,1970,9.513,Estimates
901,1971,9.532,Estimates
901,1972,9.547,Estimates
901,1973,9.557,Estimates
901,1974,9.563,Estimates
901,1975,9.569,Estimates
901,1976,9.577,Estimates
901,1977,9.59,Estimates
901,1978,9.608,Estimates
901,1979,9.631,Estimates
901,1980,9.654,Estimates
901,1981,9.674,Estimates
901,1982,9.686,Estimates
901,1983,9.689,Estimates
901,1984,9.684,Estimates
901,1985,9.679,Estimates
901,1986,9.68,Estimates
901,1987,9.695,Estimates
901,1988,9.727,Estimates
901,1989,9.776,Estimates
901,1990,9.84,Estimates
901,1991,9.914,Estimates
901,1992,9.989,Estimates
901,1993,10.06,Estimates
901,1994,10.121,Estimates
901,1995,10.172,Estimates
901,1996,10.214,Estimates
901,1997,10.247,Estimates
901,1998,10.275,Estimates
901,1999,10.296,Estimates
901,2000,10.308,Estimates
901,2001,10.309,Estimates
901,2002,10.296,Estimates
901,2003,10.271,Estimates
901,2004,10.236,Estimates
901,2005,10.194,Estimates
901,2006,10.148,Estimates
901,2007,10.104,Estimates
901,2008,10.065,Estimates
901,2009,10.036,Estimates
901,2010,10.021,Estimates
901,2011,10.023,Estimates
901,2012,10.042,Estimates
901,2013,10.075,Estimates
901,2014,10.122,Estimates
901,2015,10.179,Estimates
902,1950,24.361,Estimates
902,1951,24.059,Estimates
902,1952,23.476,Estimates
902,1953,22.941,Estimates
902,1954,22.453,Estimates
902,1955,22.01,Estimates
902,1956,21.607,Estimates
902,1957,21.238,Estimates
902,1958,20.888,Estimates
902,1959,20.535,Estimates
902,1960,20.151,Estimates
902,1961,19.711,Estimates
902,1962,19.191,Estimates
902,1963,18.582,Estimates
902,1964,17.892,Estimates
902,1965,17.146,Estimates
