country_code,reference_date_1_january_31_december,deaths,variant
900,1950,51437.976,Estimates
900,1951,51232.434,Estimates
900,1952,50877.355,Estimates
900,1953,50634.288,Estimates
900,1954,50503.235,Estimates
900,1955,50480.781,Estimates
900,1956,50555.277,Estimates
900,1957,50711.148,Estimates
900,1958,50918.237,Estimates
900,1959,51123.529,Estimates
900,1960,51267.193,Estimates
900,1961,51289.343,Estimates
900,1962,51135.89,Estimates
900,1963,50780.379,Estimates
900,1964,50234.708,Estimates
900,1965,49549.636,Estimates
900,1966,48804.868,Estimates
900,1967,48094.361,Estimates
900,1968,47491.007,Estimates
900,1969,47026.506,Estimates
900,1970,46703.444,Estimates
900,1971,46493.931,Estimates
900,1972,46341.196,Estimates
900,1973,46202.937,Estimates
900,1974,46070.78,Estimates
900,1975,45949.1,Estimates
900,1976,45853.772,Estimates
900,1977,45807.957,Estimates
900,1978,45827.506,Estimates
900,1979,45914.189,Estimates
900,1980,46064.871,Estimates
900,1981,46271.064,Estimates
900,1982,46517.546,Estimates
900,1983,46790.763,Estimates
900,1984,47083.162,Estimates
900,1985,47392.231,Estimates
900,1986,47719.856,Estimates
900,1987,48068.919,Estimates
900,1988,48438.489,Estimates
900,1989,48822.505,Estimates
900,1990,49213.115,Estimates
900,1991,49602.259,Estimates
900,1992,49983.207,Estimates
900,1993,50350.224,Estimates
900,1994,50699.08,Estimates
900,1995,51028.09,Estimates
900,1996,51338.656,Estimates
900,1997,51635.557,Estimates
900,1998,51922.439,Estimates
900,1999,52199.842,Estimates
900,2000,52464.25,Estimates
900,2001,52710.463,Estimates
900,2002,52937.564,Estimates
900,2003,53148.682,Estimates
900,2004,53350.24,Estimates
900,2005,53549.713,Estimates
900,2006,53755.177,Estimates
900,2007,53976.831,Estimates
900,2008,54225.457,Estimates
900,2009,54510.486,Estimates
900,2010,54841.344,Estimates
900,2011,55224.631,Estimates
900,2012,55659.239,Estimates
900,2013,56142.727,Estimates
900,2014,56673.868,Estimates
900,2015,57249.04,Estimates
901,1950,9102.232,Estimates
901,1951,9047.846,Estimates
901,1952,8946.565,Estimates
901,1953,8860.242,Estimates
901,1954,8788.889,Estimates
901,1955,8732.579,Estimates
901,1956,8691.584,Estimates
901,1957,8666.024,Estimates
901,1958,8656.273,Estimates
901,1959,8663.103,Estimates
901,1960,8687.159,Estimates
901,1961,8728.762,Estimates
901,1962,8787.647,Estimates
901,1963,8862.423,Estimates
901,1964,8950.538,Estimates
901,1965,9049.097,Estimates
901,1966,9155.135,Estimates
