country_code,reference_date_1_january_31_december,infant_deaths_both_sexes_combined,variant
900,1950,14251.806,Estimates
900,1951,14116.572,Estimates
900,1952,13867.473,Estimates
900,1953,13666.589,Estimates
900,1954,13514.065,Estimates
900,1955,13410.065,Estimates
900,1956,13353.398,Estimates
900,1957,13341.673,Estimates
900,1958,13368.786,Estimates
900,1959,13422.034,Estimates
900,1960,13484.054,Estimates
900,1961,13533.68,Estimates
900,1962,13546.526,Estimates
900,1963,13501.838,Estimates
900,1964,13388.548,Estimates
900,1965,13208.911,Estimates
900,1966,12979.55,Estimates
900,1967,12728.623,Estimates
900,1968,12480.323,Estimates
900,1969,12246.511,Estimates
900,1970,12028.097,Estimates
900,1971,11816.888,Estimates
900,1972,11601.179,Estimates
900,1973,11374.844,Estimates
900,1974,11140.666,Estimates
900,1975,10905.923,Estimates
900,1976,10680.591,Estimates
900,1977,10474.745,Estimates
900,1978,10294.666,Estimates
900,1979,10140.706,Estimates
900,1980,10012.938,Estimates
900,1981,9909.165,Estimates
900,1982,9820.852,Estimates
900,1983,9739.913,Estimates
900,1984,9661.429,Estimates
900,1985,9580.112,Estimates
900,1986,9491.158,Estimates
900,1987,9391.036,Estimates
900,1988,9275.853,Estimates
900,1989,9141.967,Estimates
900,1990,8986.057,Estimates
900,1991,8807.525,Estimates
900,1992,8611.861,Estimates
900,1993,8405.351,Estimates
900,1994,8192.372,Estimates
900,1995,7977.02,Estimates
900,1996,7762.394,Estimates
900,1997,7550.732,Estimates
900,1998,7344.164,Estimates
900,1999,7144.282,Estimates
900,2000,6952.171,Estimates
900,2001,6767.856,Estimates
900,2002,6589.753,Estimates
900,2003,6416.744,Estimates
900,2004,6248.896,Estimates
900,2005,6086.213,Estimates
900,2006,5928.446,Estimates
900,2007,5774.809,Estimates
900,2008,5624.715,Estimates
900,2009,5478.422,Estimates
900,2010,5336.742,Estimates
900,2011,5200.827,Estimates
900,2012,5071.287,Estimates
900,2013,4948.133,Estimates
900,2014,4830.988,Estimates
900,2015,4718.985,Estimates
901,1950,1241.497,Estimates
901,1951,1210.219,Estimates
901,1952,1146.757,Estimates
901,1953,1083.398,Estimates
901,1954,1021.13,Estimates
901,1955,960.787,Estimates
901,1956,903.039,Estimates
901,1957,848.407,Estimates
901,1958,797.199,Estimates
901,1959,749.431,Estimates
901,1960,704.924,Estimates
901,1961,663.344,Estimates
901,1962,624.248,Estimates
901,1963,587.332,Estimates
901,1964,552.441,Estimates
901,1965,519.745,Estimates
901,1966,489.573,Estimates
901,1967,462.154,Estimates
901,1968,437.457,Estimates
901,1969,415.208,Estimates
901,1970,395.109,Estimates
901,1971,376.847,Estimates
901,1972,360.122,Estimates
901,1973,344.697,Estimates
901,1974,330.44,Estimates
901,1975,317.218,Estimates
901,1976,304.9,Estimates
901,1977,293.406,Estimates
901,1978,282.633,Estimates
901,1979,272.386,Estimates
901,1980,262.623,Estimates
901,1981,253.413,Estimates
901,1982,244.805,Estimates
901,1983,236.754,Estimates
901,1984,229.109,Estimates
901,1985,221.616,Estimates
901,1986,213.899,Estimates
901,1987,205.728,Estimates
901,1988,196.959,Estimates
901,1989,187.607,Estimates
901,1990,177.771,Estimates
901,1991,167.663,Estimates
901,1992,157.634,Estimates
901,1993,148.044,Estimates
901,1994,139.108,Estimates
901,1995,131.046,Estimates
901,1996,123.951,Estimates
901,1997,117.789,Estimates
901,1998,112.451,Estimates
901,1999,107.91,Estimates
901,2000,104.113,Estimates
901,2001,100.995,Estimates
901,2002,98.394,Estimates
901,2003,96.136,Estimates
901,2004,94.075,Estimates
901,2005,92.032,Estimates
901,2006,89.86,Estimates
901,2007,87.463,Estimates
901,2008,84.789,Estimates
901,2009,81.903,Estimates
901,2010,78.876,Estimates
901,2011,75.892,Estimates
901,2012,73.083,Estimates
901,2013,70.564,Estimates
901,2014,68.347,Estimates
901,2015,66.417,Estimates
902,1950,13010.309,Estimates
902,1951,12906.353,Estimates
902,1952,12720.716,Estimates
902,1953,12583.191,Estimates
902,1954,12492.935,Estimates
902,1955,12449.278,Estimates
902,1956,12450.359,Estimates
902,1957,12493.266,Estimates
902,1958,12571.587,Estimates
902,1959,12672.603,Estimates
902,1960,12779.13,Estimates
902,1961,12870.336,Estimates
902,1962,12922.278,Estimates
902,1963,12914.506,Estimates
902,1964,12836.107,Estimates
902,1965,12689.166,Estimates
902,1966,12489.977,Estimates
902,1967,12266.469,Estimates
902,1968,12042.866,Estimates
902,1969,11831.303,Estimates
902,1970,11632.988,Estimates
902,1971,11440.041,Estimates
902,1972,11241.057,Estimates
902,1973,11030.147,Estimates
902,1974,10810.226,Estimates
902,1975,10588.705,Estimates
902,1976,10375.691,Estimates
902,1977,10181.339,Estimates
902,1978,10012.033,Estimates
902,1979,9868.32,Estimates
902,1980,9750.315,Estimates
902,1981,9655.752,Estimates
902,1982,9576.047,Estimates
902,1983,9503.159,Estimates
902,1984,9432.32,Estimates
902,1985,9358.496,Estimates
902,1986,9277.259,Estimates
902,1987,9185.308,Estimates
902,1988,9078.894,Estimates
902,1989,8954.36,Estimates
902,1990,8808.286,Estimates
902,1991,8639.862,Estimates
902,1992,8454.227,Estimates
902,1993,8257.307,Estimates
902,1994,8053.264,Estimates
902,1995,7845.974,Estimates
902,1996,7638.443,Estimates
902,1997,7432.943,Estimates
902,1998,7231.713,Estimates
902,1999,7036.372,Estimates
902,2000,6848.058,Estimates
902,2001,6666.861,Estimates
902,2002,6491.359,Estimates
902,2003,6320.608,Estimates
902,2004,6154.821,Estimates
902,2005,5994.181,Estimates
902,2006,5838.586,Estimates
902,2007,5687.346,Estimates
902,2008,5539.926,Estimates
902,2009,5396.519,Estimates
902,2010,5257.866,Estimates
902,2011,5124.935,Estimates
902,2012,4998.204,Estimates
902,2013,4877.569,Estimates
902,2014,4762.641,Estimates
902,2015,4652.568,Estimates
941,1950,2008.955,Estimates
941,1951,2007.12,Estimates
941,1952,2003.852,Estimates
941,1953,2002.267,Estimates
941,1954,2002.415,Estimates
941,1955,2004.305,Estimates
941,1956,2007.88,Estimates
941,1957,2013.06,Estimates
941,1958,2019.654,Estimates
941,1959,2027.259,Estimates
941,1960,2035.401,Estimates
941,1961,2043.623,Estimates
