country_code,reference_date_1_january_31_december,infant_mortality_rate_infant_deaths_per_1_000_live_births,variant
4,1950,291.456,Estimates
4,1951,288.792,Estimates
4,1952,283.51,Estimates
4,1953,278.319,Estimates
4,1954,273.219,Estimates
4,1955,268.212,Estimates
4,1956,263.3,Estimates
4,1957,258.488,Estimates
4,1958,253.782,Estimates
4,1959,249.197,Estimates
4,1960,244.748,Estimates
4,1961,240.448,Estimates
4,1962,236.307,Estimates
4,1963,232.327,Estimates
4,1964,228.496,Estimates
4,1965,224.799,Estimates
4,1966,221.221,Estimates
4,1967,217.728,Estimates
4,1968,214.286,Estimates
4,1969,210.863,Estimates
4,1970,207.437,Estimates
4,1971,203.995,Estimates
4,1972,200.532,Estimates
4,1973,197.034,Estimates
4,1974,193.479,Estimates
4,1975,189.85,Estimates
4,1976,186.137,Estimates
4,1977,182.334,Estimates
4,1978,178.431,Estimates
4,1979,174.412,Estimates
4,1980,170.24,Estimates
4,1981,165.879,Estimates
4,1982,161.328,Estimates
4,1983,156.605,Estimates
4,1984,151.741,Estimates
4,1985,146.754,Estimates
4,1986,141.665,Estimates
4,1987,136.535,Estimates
4,1988,131.448,Estimates
4,1989,126.492,Estimates
4,1990,121.777,Estimates
4,1991,117.406,Estimates
4,1992,113.422,Estimates
4,1993,109.849,Estimates
4,1994,106.693,Estimates
4,1995,103.944,Estimates
4,1996,101.56,Estimates
4,1997,99.448,Estimates
4,1998,97.508,Estimates
4,1999,95.671,Estimates
4,2000,93.869,Estimates
4,2001,92.049,Estimates
4,2002,90.203,Estimates
4,2003,88.325,Estimates
4,2004,86.404,Estimates
4,2005,84.447,Estimates
4,2006,82.479,Estimates
4,2007,80.54,Estimates
4,2008,78.662,Estimates
4,2009,76.856,Estimates
4,2010,75.124,Estimates
4,2011,73.457,Estimates
4,2012,71.838,Estimates
4,2013,70.253,Estimates
4,2014,68.698,Estimates
4,2015,67.174,Estimates
4,2015,67.174,Medium variant
4,2016,65.684,Medium variant
4,2017,64.232,Medium variant
