country_code,reference_date_1_january_31_december,life_expectancy_at_birth_females_years,variant
4,1950,28.296,Estimates
4,1951,28.573,Estimates
4,1952,29.12,Estimates
4,1953,29.656,Estimates
4,1954,30.182,Estimates
4,1955,30.696,Estimates
4,1956,31.199,Estimates
4,1957,31.691,Estimates
4,1958,32.173,Estimates
4,1959,32.644,Estimates
4,1960,33.105,Estimates
4,1961,33.557,Estimates
4,1962,34.001,Estimates
4,1963,34.44,Estimates
4,1964,34.875,Estimates
4,1965,35.307,Estimates
4,1966,35.738,Estimates
4,1967,36.17,Estimates
4,1968,36.603,Estimates
4,1969,37.042,Estimates
4,1970,37.487,Estimates
4,1971,37.94,Estimates
4,1972,38.402,Estimates
4,1973,38.875,Estimates
4,1974,39.363,Estimates
4,1975,39.866,Estimates
4,1976,40.386,Estimates
4,1977,40.923,Estimates
4,1978,41.482,Estimates
4,1979,42.066,Estimates
4,1980,42.685,Estimates
4,1981,43.349,Estimates
4,1982,44.061,Estimates
4,1983,44.819,Estimates
4,1984,45.619,Estimates
4,1985,46.458,Estimates
4,1986,47.332,Estimates
4,1987,48.227,Estimates
4,1988,49.126,Estimates
4,1989,50.013,Estimates
4,1990,50.867,Estimates
4,1991,51.671,Estimates
4,1992,52.416,Estimates
4,1993,53.098,Estimates
4,1994,53.713,Estimates
4,1995,54.257,Estimates
4,1996,54.734,Estimates
4,1997,55.159,Estimates
4,1998,55.548,Estimates
4,1999,55.911,Estimates
4,2000,56.265,Estimates
4,2001,56.62,Estimates
4,2002,56.983,Estimates
4,2003,57.357,Estimates
4,2004,57.747,Estimates
4,2005,58.151,Estimates
4,2006,58.564,Estimates
4,2007,58.975,Estimates
4,2008,59.379,Estimates
4,2009,59.772,Estimates
4,2010,60.154,Estimates
4,2011,60.527,Estimates
4,2012,60.893,Estimates
4,2013,61.256,Estimates
4,2014,61.615,Estimates
4,2015,61.97,Estimates
4,2015,61.97,Medium variant
4,2016,62.32,Medium variant
4,2017,62.663,Medium variant
4,2018,62.997,Medium variant
4,2019,63.322,Medium variant
4,2020,63.637,Medium variant
4,2021,63.943,Medium variant
4,2022,64.241,Medium variant
4,2023,64.531,Medium variant
4,2024,64.813,Medium variant
4,2025,65.088,Medium variant
4,2026,65.357,Medium variant
4,2027,65.618,Medium variant
4,2028,65.874,Medium variant
4,2029,66.123,Medium variant
4,2030,66.365,Medium variant
4,2031,66.601,Medium variant
4,2032,66.83,Medium variant
4,2033,67.051,Medium variant
4,2034,67.267,Medium variant
4,2035,67.478,Medium variant
4,2036,67.683,Medium variant
4,2037,67.886,Medium variant
4,2038,68.085,Medium variant
4,2039,68.283,Medium variant
4,2040,68.479,Medium variant
4,2041,68.675,Medium variant
4,2042,68.87,Medium variant
4,2043,69.063,Medium variant
4,2044,69.253,Medium variant
4,2045,69.44,Medium variant
4,2046,69.622,Medium variant
4,2047,69.797,Medium variant
4,2048,69.966,Medium variant
4,2049,70.128,Medium variant
4,2050,70.287,Medium variant
4,2051,70.444,Medium variant
4,2052,70.602,Medium variant
4,2053,70.761,Medium variant
4,2054,70.924,Medium variant
4,2055,71.089,Medium variant
4,2056,71.257,Medium variant
4,2057,71.425,Medium variant
4,2058,71.592,Medium variant
4,2059,71.757,Medium variant
4,2060,71.919,Medium variant
4,2061,72.077,Medium variant
4,2062,72.232,Medium variant
4,2063,72.384,Medium variant
4,2064,72.532,Medium variant
4,2065,72.678,Medium variant
4,2066,72.822,Medium variant
4,2067,72.965,Medium variant
4,2068,73.107,Medium variant
4,2069,73.248,Medium variant
4,2070,73.388,Medium variant
4,2071,73.525,Medium variant
4,2072,73.659,Medium variant
4,2073,73.789,Medium variant
4,2074,73.916,Medium variant
4,2075,74.042,Medium variant
4,2076,74.167,Medium variant
4,2077,74.294,Medium variant
4,2078,74.422,Medium variant
4,2079,74.554,Medium variant
4,2080,74.688,Medium variant
4,2081,74.824,Medium variant
4,2082,74.959,Medium variant
4,2083,75.094,Medium variant
4,2084,75.227,Medium variant
4,2085,75.359,Medium variant
4,2086,75.489,Medium variant
4,2087,75.617,Medium variant
4,2088,75.745,Medium variant
4,2089,75.873,Medium variant
4,2090,75.999,Medium variant
4,2091,76.124,Medium variant
4,2092,76.249,Medium variant
4,2093,76.372,Medium variant
4,2094,76.494,Medium variant
4,2095,76.615,Medium variant
4,2096,76.734,Medium variant
4,2097,76.853,Medium variant
4,2098,76.969,Medium variant
4,2099,77.085,Medium variant
8,1950,55.18,Estimates
8,1951,55.338,Estimates
8,1952,55.726,Estimates
8,1953,56.258,Estimates
