country_code,reference_date_1_january_31_december,male_deaths,variant
900,1950,26796.14,Estimates
900,1951,26704.963,Estimates
900,1952,26548.612,Estimates
900,1953,26444.296,Estimates
900,1954,26391.999,Estimates
900,1955,26390.098,Estimates
900,1956,26433.041,Estimates
900,1957,26513.308,Estimates
900,1958,26616.476,Estimates
900,1959,26717.124,Estimates
900,1960,26786.564,Estimates
900,1961,26796.074,Estimates
900,1962,26719.644,Estimates
900,1963,26544.49,Estimates
900,1964,26276.176,Estimates
900,1965,25937.995,Estimates
900,1966,25566.916,Estimates
900,1967,25207.897,Estimates
900,1968,24896.718,Estimates
900,1969,24650.054,Estimates
900,1970,24471.498,Estimates
900,1971,24350.356,Estimates
900,1972,24261.8,Estimates
900,1973,24187.367,Estimates
900,1974,24124.085,Estimates
900,1975,24075.203,Estimates
900,1976,24048.819,Estimates
900,1977,24054.056,Estimates
900,1978,24095.828,Estimates
900,1979,24172.611,Estimates
900,1980,24278.615,Estimates
900,1981,24405.06,Estimates
900,1982,24542.594,Estimates
900,1983,24684.384,Estimates
900,1984,24828.034,Estimates
900,1985,24976.694,Estimates
900,1986,25137.428,Estimates
900,1987,25317.069,Estimates
900,1988,25518.453,Estimates
900,1989,25738.838,Estimates
900,1990,25972.533,Estimates
900,1991,26211.69,Estimates
900,1992,26446.992,Estimates
900,1993,26670.493,Estimates
900,1994,26877.464,Estimates
900,1995,27064.464,Estimates
900,1996,27230.702,Estimates
900,1997,27380.651,Estimates
900,1998,27518.955,Estimates
900,1999,27648.166,Estimates
900,2000,27770.25,Estimates
900,2001,27886.772,Estimates
900,2002,28000.293,Estimates
900,2003,28114.308,Estimates
900,2004,28232.765,Estimates
900,2005,28358.619,Estimates
900,2006,28493.812,Estimates
900,2007,28639.808,Estimates
900,2008,28798.943,Estimates
900,2009,28974.594,Estimates
900,2010,29170.756,Estimates
900,2011,29390.804,Estimates
900,2012,29635.389,Estimates
900,2013,29904.255,Estimates
900,2014,30196.983,Estimates
900,2015,30511.939,Estimates
901,1950,4692.728,Estimates
901,1951,4669.892,Estimates
901,1952,4627.449,Estimates
901,1953,4591.492,Estimates
901,1954,4562.01,Estimates
901,1955,4539.079,Estimates
901,1956,4522.89,Estimates
901,1957,4513.592,Estimates
901,1958,4511.545,Estimates
901,1959,4517.451,Estimates
901,1960,4531.959,Estimates
901,1961,4555.586,Estimates
901,1962,4588.473,Estimates
901,1963,4630.058,Estimates
901,1964,4678.953,Estimates
901,1965,4733.274,Estimates
901,1966,4790.913,Estimates
901,1967,4849.646,Estimates
901,1968,4907.409,Estimates
901,1969,4962.661,Estimates
901,1970,5014.279,Estimates
901,1971,5061.929,Estimates
901,1972,5106.563,Estimates
901,1973,5149.058,Estimates
901,1974,5189.676,Estimates
901,1975,5229.271,Estimates
901,1976,5268.962,Estimates
901,1977,5309.163,Estimates
901,1978,5349.695,Estimates
901,1979,5389.863,Estimates
901,1980,5426.806,Estimates
901,1981,5456.812,Estimates
901,1982,5478.396,Estimates
901,1983,5492.099,Estimates
901,1984,5500.282,Estimates
901,1985,5508.584,Estimates
901,1986,5524.163,Estimates
901,1987,5552.385,Estimates
901,1988,5596.089,Estimates
901,1989,5655.135,Estimates
901,1990,5726.548,Estimates
901,1991,5804.943,Estimates
901,1992,5883.045,Estimates
901,1993,5954.939,Estimates
901,1994,6017.85,Estimates
901,1995,6070.992,Estimates
901,1996,6115.713,Estimates
