country_code,reference_date_1_january_31_december,population_growth_rate,variant
900,1950,1.833,Estimates
900,1951,1.804,Estimates
900,1952,1.76,Estimates
900,1953,1.741,Estimates
900,1954,1.739,Estimates
900,1955,1.75,Estimates
900,1956,1.769,Estimates
900,1957,1.791,Estimates
900,1958,1.814,Estimates
900,1959,1.834,Estimates
900,1960,1.853,Estimates
900,1961,1.873,Estimates
900,1962,1.898,Estimates
900,1963,1.932,Estimates
900,1964,1.971,Estimates
900,1965,2.011,Estimates
900,1966,2.047,Estimates
900,1967,2.069,Estimates
900,1968,2.073,Estimates
900,1969,2.058,Estimates
900,1970,2.035,Estimates
900,1971,2.011,Estimates
900,1972,1.983,Estimates
900,1973,1.946,Estimates
900,1974,1.903,Estimates
900,1975,1.857,Estimates
900,1976,1.812,Estimates
900,1977,1.778,Estimates
900,1978,1.76,Estimates
900,1979,1.758,Estimates
900,1980,1.761,Estimates
900,1981,1.763,Estimates
900,1982,1.768,Estimates
900,1983,1.78,Estimates
900,1984,1.797,Estimates
900,1985,1.817,Estimates
900,1986,1.834,Estimates
900,1987,1.833,Estimates
900,1988,1.806,Estimates
900,1989,1.754,Estimates
900,1990,1.689,Estimates
900,1991,1.625,Estimates
900,1992,1.566,Estimates
900,1993,1.51,Estimates
900,1994,1.46,Estimates
900,1995,1.413,Estimates
900,1996,1.368,Estimates
900,1997,1.328,Estimates
900,1998,1.298,Estimates
900,1999,1.279,Estimates
900,2000,1.266,Estimates
900,2001,1.255,Estimates
900,2002,1.245,Estimates
900,2003,1.238,Estimates
900,2004,1.233,Estimates
900,2005,1.23,Estimates
900,2006,1.227,Estimates
900,2007,1.224,Estimates
900,2008,1.219,Estimates
900,2009,1.212,Estimates
900,2010,1.205,Estimates
900,2011,1.196,Estimates
900,2012,1.186,Estimates
900,2013,1.172,Estimates
900,2014,1.155,Estimates
900,2015,1.135,Estimates
901,1950,1.141,Estimates
901,1951,1.165,Estimates
901,1952,1.2,Estimates
901,1953,1.215,Estimates
901,1954,1.215,Estimates
901,1955,1.204,Estimates
901,1956,1.189,Estimates
901,1957,1.174,Estimates
901,1958,1.16,Estimates
901,1959,1.15,Estimates
901,1960,1.142,Estimates
901,1961,1.129,Estimates
901,1962,1.108,Estimates
901,1963,1.071,Estimates
901,1964,1.02,Estimates
901,1965,0.962,Estimates
901,1966,0.904,Estimates
901,1967,0.856,Estimates
901,1968,0.824,Estimates
901,1969,0.809,Estimates
901,1970,0.804,Estimates
901,1971,0.798,Estimates
901,1972,0.787,Estimates
901,1973,0.768,Estimates
901,1974,0.741,Estimates
901,1975,0.71,Estimates
901,1976,0.681,Estimates
901,1977,0.656,Estimates
901,1978,0.635,Estimates
901,1979,0.619,Estimates
901,1980,0.605,Estimates
901,1981,0.591,Estimates
901,1982,0.579,Estimates
901,1983,0.572,Estimates
901,1984,0.568,Estimates
901,1985,0.567,Estimates
901,1986,0.565,Estimates
901,1987,0.559,Estimates
901,1988,0.545,Estimates
901,1989,0.524,Estimates
901,1990,0.5,Estimates
901,1991,0.476,Estimates
