country_code,reference_date_1_january_31_december,total_population_natural_change_increase,variant
900,1950,45234.083,Estimates
900,1951,45522.238,Estimates
900,1952,46160.148,Estimates
900,1953,46921.209,Estimates
900,1954,47805.42,Estimates
900,1955,48814.945,Estimates
900,1956,49955.979,Estimates
900,1957,51231.157,Estimates
900,1958,52648.777,Estimates
900,1959,54226.792,Estimates
900,1960,55979.018,Estimates
900,1961,57910.958,Estimates
900,1962,60012.347,Estimates
900,1963,62244.586,Estimates
900,1964,64539.959,Estimates
900,1965,66802.772,Estimates
900,1966,68930.484,Estimates
900,1967,70841.088,Estimates
900,1968,72470.963,Estimates
900,1969,73780.932,Estimates
900,1970,74727.388,Estimates
900,1971,75292.375,Estimates
900,1972,75551.178,Estimates
900,1973,75605.215,Estimates
900,1974,75544.807,Estimates
900,1975,75490.418,Estimates
900,1976,75563.75,Estimates
900,1977,75847.712,Estimates
900,1978,76402.334,Estimates
900,1979,77264.058,Estimates
900,1980,78487.028,Estimates
900,1981,80100.172,Estimates
900,1982,82006.053,Estimates
900,1983,84062.264,Estimates
900,1984,86129.802,Estimates
900,1985,88000.463,Estimates
900,1986,89456.596,Estimates
900,1987,90370.055,Estimates
900,1988,90671.873,Estimates
900,1989,90347.239,Estimates
900,1990,89428.996,Estimates
900,1991,88013.25,Estimates
900,1992,86307.019,Estimates
900,1993,84515.605,Estimates
900,1994,82778.191,Estimates
900,1995,81225.245,Estimates
900,1996,79945.319,Estimates
900,1997,78942.802,Estimates
900,1998,78217.244,Estimates
900,1999,77790.926,Estimates
900,2000,77674.247,Estimates
900,2001,77852.794,Estimates
900,2002,78257.503,Estimates
900,2003,78813.733,Estimates
900,2004,79467.873,Estimates
900,2005,80175.712,Estimates
900,2006,80906.214,Estimates
900,2007,81634.281,Estimates
900,2008,82324.959,Estimates
900,2009,82932.884,Estimates
900,2010,83414.612,Estimates
900,2011,83739.411,Estimates
900,2012,83903.193,Estimates
900,2013,83903.911,Estimates
900,2014,83733.185,Estimates
900,2015,83382.253,Estimates
901,1950,9349.695,Estimates
901,1951,9498.738,Estimates
901,1952,9774.206,Estimates
901,1953,10004.462,Estimates
901,1954,10189.497,Estimates
901,1955,10328.754,Estimates
901,1956,10420.524,Estimates
901,1957,10463.648,Estimates
901,1958,10455.249,Estimates
901,1959,10389.594,Estimates
901,1960,10261.484,Estimates
901,1961,10067.377,Estimates
901,1962,9807.064,Estimates
901,1963,9487.082,Estimates
901,1964,9121.289,Estimates
901,1965,8731.084,Estimates
901,1966,8340.517,Estimates
901,1967,7969.614,Estimates
901,1968,7633.492,Estimates
901,1969,7340.414,Estimates
901,1970,7089.294,Estimates
901,1971,6869.908,Estimates
901,1972,6664.627,Estimates
901,1973,6460.819,Estimates
901,1974,6256.432,Estimates
901,1975,6054.909,Estimates
901,1976,5863.937,Estimates
901,1977,5692.604,Estimates
901,1978,5546.453,Estimates
901,1979,5425.34,Estimates
901,1980,5331.731,Estimates
901,1981,5267.205,Estimates
901,1982,5223.298,Estimates
901,1983,5186.896,Estimates
901,1984,5143.947,Estimates
901,1985,5071.635,Estimates
901,1986,4945.876,Estimates
901,1987,4755.124,Estimates
901,1988,4496.014,Estimates
901,1989,4171.827,Estimates
901,1990,3792.034,Estimates
901,1991,3372.727,Estimates
901,1992,2940.509,Estimates
901,1993,2521.152,Estimates
901,1994,2132.548,Estimates
901,1995,1789.216,Estimates
901,1996,1498.8,Estimates
901,1997,1258.355,Estimates
901,1998,1065.847,Estimates
901,1999,924.41,Estimates
901,2000,841.929,Estimates
901,2001,825.789,Estimates
901,2002,870.732,Estimates
901,2003,964.917,Estimates
901,2004,1093.894,Estimates
901,2005,1236.752,Estimates
901,2006,1370.915,Estimates
901,2007,1478.357,Estimates
901,2008,1545.357,Estimates
901,2009,1563.801,Estimates
901,2010,1532.108,Estimates
901,2011,1456.563,Estimates
901,2012,1353.586,Estimates
901,2013,1237.406,Estimates
901,2014,1114.032,Estimates
901,2015,987.762,Estimates
902,1950,35884.388,Estimates
902,1951,36023.5,Estimates
902,1952,36385.942,Estimates
902,1953,36916.747,Estimates
902,1954,37615.923,Estimates
902,1955,38486.191,Estimates
902,1956,39535.455,Estimates
902,1957,40767.509,Estimates
902,1958,42193.528,Estimates
902,1959,43837.198,Estimates
902,1960,45717.534,Estimates
902,1961,47843.581,Estimates
902,1962,50205.283,Estimates
902,1963,52757.504,Estimates
902,1964,55418.67,Estimates
902,1965,58071.688,Estimates
902,1966,60589.967,Estimates
902,1967,62871.474,Estimates
902,1968,64837.471,Estimates
902,1969,66440.518,Estimates
902,1970,67638.094,Estimates
902,1971,68422.467,Estimates
902,1972,68886.551,Estimates
902,1973,69144.396,Estimates
902,1974,69288.375,Estimates
902,1975,69435.509,Estimates
902,1976,69699.813,Estimates
902,1977,70155.108,Estimates
902,1978,70855.881,Estimates
902,1979,71838.718,Estimates
902,1980,73155.297,Estimates
902,1981,74832.967,Estimates
902,1982,76782.755,Estimates
902,1983,78875.368,Estimates
902,1984,80985.855,Estimates
902,1985,82928.828,Estimates
902,1986,84510.72,Estimates
902,1987,85614.931,Estimates
902,1988,86175.859,Estimates
902,1989,86175.412,Estimates
902,1990,85636.962,Estimates
902,1991,84640.523,Estimates
902,1992,83366.51,Estimates
902,1993,81994.453,Estimates
902,1994,80645.643,Estimates
902,1995,79436.029,Estimates
902,1996,78446.519,Estimates
902,1997,77684.447,Estimates
902,1998,77151.397,Estimates
902,1999,76866.516,Estimates
902,2000,76832.318,Estimates
902,2001,77027.005,Estimates
902,2002,77386.771,Estimates
902,2003,77848.816,Estimates
902,2004,78373.979,Estimates
902,2005,78938.96,Estimates
902,2006,79535.299,Estimates
902,2007,80155.924,Estimates
902,2008,80779.602,Estimates
902,2009,81369.083,Estimates
902,2010,81882.504,Estimates
902,2011,82282.848,Estimates
902,2012,82549.607,Estimates
902,2013,82666.505,Estimates
902,2014,82619.153,Estimates
902,2015,82394.491,Estimates
941,1950,3701.538,Estimates
941,1951,3804.279,Estimates
941,1952,4010.343,Estimates
941,1953,4217.557,Estimates
941,1954,4425.925,Estimates
941,1955,4635.568,Estimates
941,1956,4846.873,Estimates
941,1957,5060.221,Estimates
941,1958,5276.426,Estimates
941,1959,5497.0,Estimates
941,1960,5723.468,Estimates
941,1961,5957.185,Estimates
941,1962,6198.964,Estimates
941,1963,6448.355,Estimates
941,1964,6703.424,Estimates
941,1965,6959.329,Estimates
941,1966,7210.113,Estimates
941,1967,7451.907,Estimates
941,1968,7683.258,Estimates
941,1969,7905.198,Estimates
941,1970,8120.237,Estimates
941,1971,8332.507,Estimates
941,1972,8548.862,Estimates
941,1973,8776.023,Estimates
941,1974,9018.811,Estimates
941,1975,9284.053,Estimates
941,1976,9577.719,Estimates
941,1977,9898.977,Estimates
941,1978,10244.149,Estimates
941,1979,10608.637,Estimates
941,1980,10985.033,Estimates
941,1981,11364.387,Estimates
941,1982,11737.435,Estimates
941,1983,12096.265,Estimates
941,1984,12435.845,Estimates
941,1985,12750.542,Estimates
941,1986,13037.127,Estimates
941,1987,13301.022,Estimates
941,1988,13550.03,Estimates
941,1989,13791.14,Estimates
941,1990,14035.223,Estimates
941,1991,14294.166,Estimates
941,1992,14576.081,Estimates
941,1993,14885.986,Estimates
941,1994,15225.629,Estimates
941,1995,15592.546,Estimates
941,1996,15980.233,Estimates
941,1997,16378.191,Estimates
941,1998,16777.729,Estimates
941,1999,17175.009,Estimates
941,2000,17569.27,Estimates
941,2001,17962.643,Estimates
941,2002,18358.881,Estimates
941,2003,18759.707,Estimates
941,2004,19163.537,Estimates
941,2005,19566.862,Estimates
941,2006,19965.318,Estimates
941,2007,20355.443,Estimates
941,2008,20735.171,Estimates
941,2009,21104.166,Estimates
941,2010,21464.64,Estimates
941,2011,21820.523,Estimates
941,2012,22175.911,Estimates
941,2013,22533.126,Estimates
941,2014,22891.958,Estimates
941,2015,23250.237,Estimates
934,1950,32182.85,Estimates
934,1951,32219.221,Estimates
934,1952,32375.599,Estimates
934,1953,32699.19,Estimates
934,1954,33189.998,Estimates
934,1955,33850.623,Estimates
934,1956,34688.582,Estimates
934,1957,35707.288,Estimates
934,1958,36917.102,Estimates
934,1959,38340.198,Estimates
934,1960,39994.066,Estimates
934,1961,41886.396,Estimates
934,1962,44006.319,Estimates
934,1963,46309.149,Estimates
934,1964,48715.246,Estimates
934,1965,51112.359,Estimates
934,1966,53379.854,Estimates
934,1967,55419.567,Estimates
934,1968,57154.213,Estimates
934,1969,58535.32,Estimates
934,1970,59517.857,Estimates
934,1971,60089.96,Estimates
934,1972,60337.689,Estimates
934,1973,60368.373,Estimates
934,1974,60269.564,Estimates
934,1975,60151.456,Estimates
934,1976,60122.094,Estimates
934,1977,60256.131,Estimates
934,1978,60611.732,Estimates
934,1979,61230.081,Estimates
934,1980,62170.264,Estimates
934,1981,63468.58,Estimates
934,1982,65045.32,Estimates
934,1983,66779.103,Estimates
934,1984,68550.01,Estimates
934,1985,70178.286,Estimates
934,1986,71473.593,Estimates
934,1987,72313.909,Estimates
934,1988,72625.829,Estimates
934,1989,72384.272,Estimates
934,1990,71601.739,Estimates
934,1991,70346.357,Estimates
934,1992,68790.429,Estimates
934,1993,67108.467,Estimates
934,1994,65420.014,Estimates
934,1995,63843.483,Estimates
934,1996,62466.286,Estimates
934,1997,61306.256,Estimates
934,1998,60373.668,Estimates
934,1999,59691.507,Estimates
934,2000,59263.048,Estimates
934,2001,59064.362,Estimates
934,2002,59027.89,Estimates
934,2003,59089.109,Estimates
934,2004,59210.442,Estimates
934,2005,59372.098,Estimates
934,2006,59569.981,Estimates
934,2007,59800.481,Estimates
934,2008,60044.431,Estimates
934,2009,60264.917,Estimates
934,2010,60417.864,Estimates
934,2011,60462.325,Estimates
934,2012,60373.696,Estimates
934,2013,60133.379,Estimates
934,2014,59727.195,Estimates
934,2015,59144.254,Estimates
948,1950,22843.166,Estimates
948,1951,23520.313,Estimates
948,1952,24867.58,Estimates
948,1953,26200.723,Estimates
948,1954,27519.748,Estimates
948,1955,28824.445,Estimates
948,1956,30114.152,Estimates
948,1957,31388.218,Estimates
948,1958,32645.27,Estimates
948,1959,33882.741,Estimates
948,1960,35097.966,Estimates
948,1961,36288.769,Estimates
948,1962,37453.833,Estimates
948,1963,38594.087,Estimates
948,1964,39713.101,Estimates
948,1965,40815.354,Estimates
948,1966,41906.167,Estimates
948,1967,42992.559,Estimates
948,1968,44081.807,Estimates
948,1969,45179.866,Estimates
948,1970,46289.792,Estimates
948,1971,47411.84,Estimates
948,1972,48545.362,Estimates
948,1973,49691.997,Estimates
948,1974,50856.46,Estimates
948,1975,52056.53,Estimates
948,1976,53313.388,Estimates
