country_code,major_area_region_country_or_area
900,WORLD
901,More developed regions
902,Less developed regions
941,Least developed countries
934,"Less developed regions, excluding least developed countries"
948,"Less developed regions, excluding China"
1503,High-income countries
1517,Middle-income countries
1502,Upper-middle-income countries
1501,Lower-middle-income countries
1500,Low-income countries
947,Sub-Saharan Africa
903,AFRICA
910,Eastern Africa
108,Burundi
174,Comoros
262,Djibouti
232,Eritrea
231,Ethiopia
404,Kenya
450,Madagascar
454,Malawi
480,Mauritius
175,Mayotte
508,Mozambique
638,Réunion
646,Rwanda
690,Seychelles
706,Somalia
728,South Sudan
800,Uganda
834,United Republic of Tanzania
894,Zambia
716,Zimbabwe
911,Middle Africa
24,Angola
120,Cameroon
140,Central African Republic
148,Chad
178,Congo
180,Democratic Republic of the Congo
226,Equatorial Guinea
266,Gabon
678,Sao Tome and Principe
912,Northern Africa
12,Algeria
818,Egypt
434,Libya
504,Morocco
729,Sudan
788,Tunisia
732,Western Sahara
913,Southern Africa
72,Botswana
426,Lesotho
516,Namibia
710,South Africa
748,Swaziland
914,Western Africa
204,Benin
854,Burkina Faso
132,Cabo Verde
384,Côte d'Ivoire
270,Gambia
288,Ghana
324,Guinea
624,Guinea-Bissau
430,Liberia
466,Mali
478,Mauritania
562,Niger
566,Nigeria
686,Senegal
694,Sierra Leone
768,Togo
935,ASIA
906,Eastern Asia
156,China
344,"China, Hong Kong SAR"
446,"China, Macao SAR"
408,Dem. People's Republic of Korea
392,Japan
496,Mongolia
410,Republic of Korea
158,Other non-specified areas
921,South-Central Asia
5500,Central Asia
398,Kazakhstan
417,Kyrgyzstan
762,Tajikistan
795,Turkmenistan
860,Uzbekistan
5501,Southern Asia
4,Afghanistan
50,Bangladesh
64,Bhutan
356,India
364,Iran (Islamic Republic of)
462,Maldives
524,Nepal
586,Pakistan
144,Sri Lanka
920,South-Eastern Asia
96,Brunei Darussalam
116,Cambodia
360,Indonesia
418,Lao People's Democratic Republic
458,Malaysia
104,Myanmar
608,Philippines
702,Singapore
764,Thailand
626,Timor-Leste
704,Viet Nam
922,Western Asia
51,Armenia
31,Azerbaijan
48,Bahrain
196,Cyprus
268,Georgia
368,Iraq
376,Israel
400,Jordan
414,Kuwait
422,Lebanon
512,Oman
634,Qatar
682,Saudi Arabia
275,State of Palestine
760,Syrian Arab Republic
792,Turkey
784,United Arab Emirates
887,Yemen
908,EUROPE
923,Eastern Europe
112,Belarus
100,Bulgaria
203,Czech Republic
348,Hungary
616,Poland
498,Republic of Moldova
642,Romania
643,Russian Federation
703,Slovakia
804,Ukraine
924,Northern Europe
830,Channel Islands
208,Denmark
233,Estonia
246,Finland
352,Iceland
372,Ireland
428,Latvia
440,Lithuania
578,Norway
752,Sweden
826,United Kingdom
925,Southern Europe
8,Albania
70,Bosnia and Herzegovina
191,Croatia
300,Greece
380,Italy
470,Malta
499,Montenegro
620,Portugal
688,Serbia
705,Slovenia
724,Spain
807,TFYR Macedonia
926,Western Europe
40,Austria
56,Belgium
250,France
276,Germany
442,Luxembourg
528,Netherlands
756,Switzerland
904,LATIN AMERICA AND THE CARIBBEAN
915,Caribbean
28,Antigua and Barbuda
533,Aruba
44,Bahamas
52,Barbados
192,Cuba
531,Curaçao
214,Dominican Republic
308,Grenada
312,Guadeloupe
332,Haiti
388,Jamaica
474,Martinique
630,Puerto Rico
662,Saint Lucia
670,Saint Vincent and the Grenadines
780,Trinidad and Tobago
850,United States Virgin Islands
916,Central America
84,Belize
188,Costa Rica
222,El Salvador
320,Guatemala
340,Honduras
484,Mexico
558,Nicaragua
591,Panama
931,South America
32,Argentina
68,Bolivia (Plurinational State of)
76,Brazil
152,Chile
170,Colombia
218,Ecuador
254,French Guiana
328,Guyana
600,Paraguay
604,Peru
740,Suriname
858,Uruguay
862,Venezuela (Bolivarian Republic of)
905,NORTHERN AMERICA
124,Canada
840,United States of America
909,OCEANIA
927,Australia/New Zealand
36,Australia
554,New Zealand
928,Melanesia
242,Fiji
540,New Caledonia
598,Papua New Guinea
90,Solomon Islands
548,Vanuatu
954,Micronesia
316,Guam
296,Kiribati
583,Micronesia (Fed. States of)
957,Polynesia
258,French Polynesia
882,Samoa
776,Tonga
